TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,1.2,0.3,0.6,0.8,0.0006736858541641825,3.738098547263683e-6,7.320690889650173
10.0,40.0,1.2,0.3,0.6,0.8,0.0007804670596512965,4.330598251152623e-6,8.724907519770106
10.0,60.0,1.2,0.3,0.6,0.8,0.0007400717705330617,4.106455840211678e-6,9.239843870363998
10.0,80.0,1.2,0.3,0.6,0.8,0.0006863185840306486,3.808194110158348e-6,9.755337638678716
10.0,100.0,1.2,0.3,0.6,0.8,0.0007005197456762906,3.886992472019296e-6,9.13521453605962
10.0,120.0,1.2,0.3,0.6,0.8,0.0008379612481133583,4.649617777891506e-6,9.381326191412459
10.0,140.0,1.2,0.3,0.6,0.8,0.0008422293876517728,4.673300516826051e-6,9.523400226538365
10.0,160.0,1.2,0.3,0.6,0.8,0.0008332013601841312,4.6232064616327485e-6,9.77864160539139
10.0,180.0,1.2,0.3,0.6,0.8,0.0007766781574787469,4.309574669286704e-6,9.726581903444119
10.0,200.0,1.2,0.3,0.6,0.8,0.0008042404660565657,4.462510381113108e-6,9.57697330301729
10.0,220.0,1.2,0.3,0.6,0.8,0.0008862342867373348,4.917471666223728e-6,9.62203248540144
10.0,240.0,1.2,0.3,0.6,0.8,0.0008650789073564571,4.800086252174054e-6,9.901158799200491
10.0,260.0,1.2,0.3,0.6,0.8,0.0007751352379396262,4.301013430762723e-6,9.918458695753952
10.0,280.0,1.2,0.3,0.6,0.8,0.0008690601242836111,4.822176936013927e-6,10.037499184589562
10.0,300.0,1.2,0.3,0.6,0.8,0.0009104548899900484,5.051865169179415e-6,9.724051829681267
10.0,320.0,1.2,0.3,0.6,0.8,0.0009165169530933979,5.085501899325939e-6,10.093147279423052
10.0,340.0,1.2,0.3,0.6,0.8,0.0009512160975900176,5.278037961694404e-6,9.740253599178168
10.0,360.0,1.2,0.3,0.6,0.8,0.0009056472883378542,5.025189102521928e-6,10.299859835011238
10.0,380.0,1.2,0.3,0.6,0.8,0.0008181168520593968,4.539506651760364e-6,9.886824287835289
10.0,400.0,1.2,0.3,0.6,0.8,0.0008496536616299854,4.714495782543595e-6,9.988177536365722
20.0,20.0,1.2,0.3,0.6,0.8,0.0004296581741716009,2.6706100782854516e-6,10.799101440600152
20.0,40.0,1.2,0.3,0.6,0.8,0.0003929822019386133,2.442644623502285e-6,14.579618576589885
20.0,60.0,1.2,0.3,0.6,0.8,0.00034157340652359904,2.123104916355881e-6,12.165889316610711
20.0,80.0,1.2,0.3,0.6,0.8,0.0004145420602331897,2.5766534200506448e-6,13.055725868258143
20.0,100.0,1.2,0.3,0.6,0.8,0.00037405346694762234,2.3249900006533194e-6,12.794150247463516
20.0,120.0,1.2,0.3,0.6,0.8,0.00038543192796954543,2.395714670884752e-6,14.017553755322245
20.0,140.0,1.2,0.3,0.6,0.8,0.0003444025085441364,2.140689658885479e-6,13.700099497461132
20.0,160.0,1.2,0.3,0.6,0.8,0.00038547244782964884,2.3959665286481277e-6,13.965687379973222
20.0,180.0,1.2,0.3,0.6,0.8,0.00037678407246259817,2.341962522175053e-6,12.751873056184017
20.0,200.0,1.2,0.3,0.6,0.8,0.0004003141061667427,2.488217263572309e-6,13.643783420870804
20.0,220.0,1.2,0.3,0.6,0.8,0.00039414389900983615,2.449865340092407e-6,13.113564965168667
20.0,240.0,1.2,0.3,0.6,0.8,0.00039846502196724066,2.476723980782311e-6,12.78140184476221
20.0,260.0,1.2,0.3,0.6,0.8,0.0003781853013527775,2.3506720876413973e-6,11.960903795823166
20.0,280.0,1.2,0.3,0.6,0.8,0.00038150371800256766,2.371298244622971e-6,12.285618559844446
20.0,300.0,1.2,0.3,0.6,0.8,0.00037457992846354676,2.3282623076051605e-6,12.325518619078721
20.0,320.0,1.2,0.3,0.6,0.8,0.0003701956239438125,2.30101095166564e-6,12.067776454859244
20.0,340.0,1.2,0.3,0.6,0.8,0.00037102748966731837,2.3061815480106493e-6,11.746721316613892
20.0,360.0,1.2,0.3,0.6,0.8,0.0003764405218889336,2.3398271278556073e-6,12.318916361533521
20.0,380.0,1.2,0.3,0.6,0.8,0.00043859206495887917,2.7261401256790754e-6,12.301489771622828
20.0,400.0,1.2,0.3,0.6,0.8,0.0003664841859640061,2.2779419068536504e-6,11.815558216361458
30.0,20.0,1.2,0.3,0.6,0.8,0.0006373607111939242,3.852886244220352e-6,15.20818938433181
30.0,40.0,1.2,0.3,0.6,0.8,0.0004351070721625684,2.6302500666503785e-6,10.252249345924715
30.0,60.0,1.2,0.3,0.6,0.8,0.00042174243134888956,2.5494599585599194e-6,13.1207042467499
30.0,80.0,1.2,0.3,0.6,0.8,0.0003936119860283749,2.3794096182805877e-6,11.288266703986773
30.0,100.0,1.2,0.3,0.6,0.8,0.00036841892068246193,2.227115927727893e-6,12.566357373847286
30.0,120.0,1.2,0.3,0.6,0.8,0.0003312551039967341,2.0024582800625027e-6,11.099817037762278
30.0,140.0,1.2,0.3,0.6,0.8,0.00034626488283681,2.093193352692548e-6,10.269695207890505
30.0,160.0,1.2,0.3,0.6,0.8,0.00033075099772579455,1.9994109254282798e-6,10.005513153180264
30.0,180.0,1.2,0.3,0.6,0.8,0.0003162797008742665,1.9119310108429624e-6,10.598295528630581
30.0,200.0,1.2,0.3,0.6,0.8,0.0003300680638290735,1.9952825463641558e-6,12.091770595009235
30.0,220.0,1.2,0.3,0.6,0.8,0.0003193022165593022,1.9302023113817105e-6,11.894889737588814
30.0,240.0,1.2,0.3,0.6,0.8,0.00034094530294598817,2.0610361521836157e-6,11.999128288780494
30.0,260.0,1.2,0.3,0.6,0.8,0.00033600292455051575,2.0311591588277236e-6,9.89516122743763
30.0,280.0,1.2,0.3,0.6,0.8,0.0003282159689548689,1.9840865144492817e-6,12.513570747709263
30.0,300.0,1.2,0.3,0.6,0.8,0.0003335185130382276,2.0161407324130383e-6,13.119001854971337
30.0,320.0,1.2,0.3,0.6,0.8,0.00034355817323148254,2.0768311200944166e-6,13.115836050107664
30.0,340.0,1.2,0.3,0.6,0.8,0.0003130287081373557,1.8922785519195996e-6,11.591386178567939
30.0,360.0,1.2,0.3,0.6,0.8,0.00036127182212632186,2.1839112600579076e-6,12.740276072781857
30.0,380.0,1.2,0.3,0.6,0.8,0.0003590228183635391,2.1703158885380762e-6,12.71672594780733
30.0,400.0,1.2,0.3,0.6,0.8,0.00033751036044785463,2.0402717051941623e-6,11.90648091871827
40.0,20.0,1.2,0.3,0.6,0.8,0.0006408813667108896,4.1760949054202556e-6,15.196871200223505
40.0,40.0,1.2,0.3,0.6,0.8,0.00038692348834330406,2.52126102019569e-6,9.642254633730397
40.0,60.0,1.2,0.3,0.6,0.8,0.0003867747068885803,2.5202915342543503e-6,13.238503562763213
40.0,80.0,1.2,0.3,0.6,0.8,0.00037345843720794673,2.4335203955365933e-6,9.935636186500663
40.0,100.0,1.2,0.3,0.6,0.8,0.0003338593657564347,2.17548593059851e-6,13.435518333859838
40.0,120.0,1.2,0.3,0.6,0.8,0.000342710187739594,2.2331594322987505e-6,10.363465779830602
40.0,140.0,1.2,0.3,0.6,0.8,0.0002966817982485763,1.933230408235159e-6,11.533058151598661
40.0,160.0,1.2,0.3,0.6,0.8,0.0002970929475454606,1.935909528854467e-6,11.73830052385151
40.0,180.0,1.2,0.3,0.6,0.8,0.0003458596267080627,2.253681726617673e-6,12.858722020865128
40.0,200.0,1.2,0.3,0.6,0.8,0.0003032760348123123,1.9761996052649997e-6,10.913721080309879
40.0,220.0,1.2,0.3,0.6,0.8,0.0003126142887406529,2.0370492986424263e-6,12.315657084964649
40.0,240.0,1.2,0.3,0.6,0.8,0.0003167668498854141,2.064108112241709e-6,11.346464687449927
40.0,260.0,1.2,0.3,0.6,0.8,0.0003017496575096672,1.9662534642029816e-6,12.078595892108364
40.0,280.0,1.2,0.3,0.6,0.8,0.0003135189601103382,2.0429442952740366e-6,13.00974762083598
40.0,300.0,1.2,0.3,0.6,0.8,0.0003150997462771313,2.0532449739965017e-6,12.785506522407768
40.0,320.0,1.2,0.3,0.6,0.8,0.00032205488308650583,2.0985658600525206e-6,11.992446823857035
40.0,340.0,1.2,0.3,0.6,0.8,0.0003105424438205734,2.0235487953277965e-6,12.242213785847277
40.0,360.0,1.2,0.3,0.6,0.8,0.00034685341669100076,2.260157435696414e-6,13.712970924660462
40.0,380.0,1.2,0.3,0.6,0.8,0.0003289753857504004,2.1436610639682787e-6,13.154835715418905
40.0,400.0,1.2,0.3,0.6,0.8,0.0003115509046513145,2.030120102212856e-6,12.305345314998094
50.0,20.0,1.2,0.3,0.6,0.8,0.0008784804233217259,6.451737823566305e-6,16.63785301679612
50.0,40.0,1.2,0.3,0.6,0.8,0.0006206542485458777,4.558210273553321e-6,17.568979310755264
50.0,60.0,1.2,0.3,0.6,0.8,0.0005473073920738289,4.019536131731153e-6,18.664527853941845
50.0,80.0,1.2,0.3,0.6,0.8,0.0004654562209035205,3.418404583522162e-6,15.458747776443328
50.0,100.0,1.2,0.3,0.6,0.8,0.00043573780574781456,3.2001465347070033e-6,15.306376174952542
50.0,120.0,1.2,0.3,0.6,0.8,0.0004363169812447084,3.204400116643028e-6,13.936905270622805
50.0,140.0,1.2,0.3,0.6,0.8,0.0004027365534953979,2.957778666591184e-6,15.446075978756728
50.0,160.0,1.2,0.3,0.6,0.8,0.00036039965853265914,2.646847951105654e-6,13.8962899462397
50.0,180.0,1.2,0.3,0.6,0.8,0.0003547249353000414,2.605171636476225e-6,15.189289514621398
50.0,200.0,1.2,0.3,0.6,0.8,0.0004790935149566278,3.5185596279804553e-6,16.613840822423946
