TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y)
10.0,20.0,0.2,0.9,0.9,3.0,0.36895854622939617,0.0009257838330739962,330.470299037542,0.3627817235106315,0.0018263446728893392,314.1630397154905,0.006176822718764601,3.089983521509351e-5,16.307259322051454
10.0,40.0,0.2,0.9,0.9,3.0,0.29291287714286457,0.0007349714728913043,266.7896463213881,0.28604162691173274,0.0014400135609905758,242.94737922633118,0.0068712502311318365,3.43737402756659e-5,23.842267095056986
10.0,60.0,0.2,0.9,0.9,3.0,0.1971123994201095,0.0004945907190562929,198.86449266457512,0.19181115086112716,0.0009656309865503103,176.6455626794464,0.005301248558982365,2.6519735852086985e-5,22.21892998512876
10.0,80.0,0.2,0.9,0.9,3.0,0.21726657960430015,0.0005451612082726703,209.27537135365964,0.21268289726024514,0.0010707051961357588,190.67087480334985,0.004583682344054955,2.2930078384694103e-5,18.604496550309804
10.0,100.0,0.2,0.9,0.9,3.0,0.12345111243953777,0.0003097612055324669,147.60560694947506,0.11957030406742934,0.0006019503566940534,132.08700600525702,0.003880808372108468,1.9413919527787723e-5,15.51860094421802
10.0,120.0,0.2,0.9,0.9,3.0,0.16704292217220548,0.0004191409532503857,222.76066910277342,0.16086546091377898,0.000809841727275323,207.12397248841387,0.0061774612584264525,3.090302953865238e-5,15.636696614359554
10.0,140.0,0.2,0.9,0.9,3.0,0.15611355884478978,0.00039171720069683364,188.18814596369552,0.15273882310124187,0.0007689299593565808,161.18469121990583,0.003374735743547882,1.6882268298445183e-5,27.00345474378964
10.0,160.0,0.2,0.9,0.9,3.0,0.17405944984518645,0.00043674669229707905,192.8075280237975,0.16753018874101272,0.0008433938314048712,171.63187140136992,0.006529261104173662,3.266292418954795e-5,21.175656622427525
10.0,180.0,0.2,0.9,0.9,3.0,0.123000849875593,0.0003086314151898972,184.5638689689645,0.11869997200058081,0.0005975688616216121,163.44769106503878,0.0043008778750121815,2.1515336228509722e-5,21.116177903925657
10.0,200.0,0.2,0.9,0.9,3.0,0.1850176014207228,0.0004642426797804491,220.23983470551158,0.17676377636220658,0.0008898782942946622,196.58465567499402,0.008253825058516217,4.129013342532363e-5,23.655179030517477
10.0,220.0,0.2,0.9,0.9,3.0,0.16523181676035845,0.00041459656167193903,204.88420088360633,0.15960902705098376,0.0008035164877622951,181.64614565994134,0.005622789709374639,2.8128260009953708e-5,23.238055223664976
10.0,240.0,0.2,0.9,0.9,3.0,0.22036054931566684,0.0005529245387824968,220.35994785548112,0.21071907895468514,0.001060818785469382,191.29227811636954,0.009641470360981626,4.8231891856065114e-5,29.06766973911158
10.0,260.0,0.2,0.9,0.9,3.0,0.14731975619585597,0.00036965195676407885,213.68827913722888,0.14324557482585268,0.0007211382921016982,194.0447503382019,0.0040741813700032855,2.0381276701864682e-5,19.643528799026978
10.0,280.0,0.2,0.9,0.9,3.0,0.13490990135534414,0.00033851338279810856,187.64784373121094,0.13097746884273984,0.0006593772149672726,162.95547467855172,0.003932432512604331,1.9672171627139225e-5,24.69236905265913
10.0,300.0,0.2,0.9,0.9,3.0,0.1725248177555665,0.00043289602237004776,180.41074080078286,0.16889605240504552,0.0008502699711468621,155.3377555729586,0.0036287653505209243,1.8153062904768597e-5,25.072985227824255
10.0,320.0,0.2,0.9,0.9,3.0,0.15385756106080611,0.0003860564935599286,191.44513571949167,0.14926045434455537,0.0007514188780715477,165.73747162257885,0.004597106716250779,2.2997234414194012e-5,25.707664096912897
10.0,340.0,0.2,0.9,0.9,3.0,0.18496647207110553,0.0004641143869796589,205.55978888969307,0.17761441985569643,0.0008941606715815588,179.7864457009244,0.007352052215409039,3.677897396322541e-5,25.773343188768692
10.0,360.0,0.2,0.9,0.9,3.0,0.15291811378771678,0.00038369925016134144,185.87705676839627,0.1487446950910874,0.0007488224017222175,168.8518723834179,0.004173418696629335,2.087771591981663e-5,17.025184384978346
10.0,380.0,0.2,0.9,0.9,3.0,0.16589377977124908,0.0004162575467875799,191.36761491015432,0.16050709810509317,0.0008080376286557137,167.25344137175313,0.005386681666155901,2.6947118837445463e-5,24.114173538401165
10.0,400.0,0.2,0.9,0.9,3.0,0.158027257603477,0.0003965190175683281,194.56522926739888,0.1511857563079569,0.0007611113866977676,173.28936554131408,0.006841501295520131,3.42249198788244e-5,21.275863726084797
20.0,20.0,0.2,0.9,0.9,3.0,0.048699661446860186,0.0001204588386831023,101.94559705023917,0.048647121091482594,0.00024026417135798836,98.64192091605544,5.254035537758894e-5,2.6034410820326127e-7,3.3036761341837426
20.0,40.0,0.2,0.9,0.9,3.0,0.022951902186978776,5.6771636616580045e-5,58.008258319681346,0.022679271094879997,0.0001120110739208484,56.1365611988487,0.00027263109209876667,1.3509215541242833e-6,1.8716971208326327
20.0,60.0,0.2,0.9,0.9,3.0,0.04784378282701684,0.00011834181894339581,85.08637602146345,0.04731611157347872,0.00023369042368828736,80.961705874411,0.0005276712535381209,2.6146778212595945e-6,4.124670147052469
20.0,80.0,0.2,0.9,0.9,3.0,0.042771000345820556,0.00010579426792512714,62.63867842925825,0.04161533048862404,0.00020553472993469098,57.88012849865318,0.0011556698571964891,5.72649035559335e-6,4.758549930605044
20.0,100.0,0.2,0.9,0.9,3.0,0.05387151874268846,0.00013325145171533048,67.16403765849735,0.052562842554337595,0.0002596036009364073,63.03570067004209,0.001308676188350861,6.4846560845375655e-6,4.1283369884552625
20.0,120.0,0.2,0.9,0.9,3.0,0.028982942654995084,7.168944321408109e-5,61.193554264566956,0.028142731720869407,0.0001389946612452003,58.37302946549509,0.0008402109341256708,4.16335148050563e-6,2.8205247990718667
20.0,140.0,0.2,0.9,0.9,3.0,0.05320781519801013,0.00013160977791624158,66.3946587715629,0.05189984697956393,0.00025632911975822105,62.24905867866655,0.0013079682184462065,6.481148004088976e-6,4.145600092896356
20.0,160.0,0.2,0.9,0.9,3.0,0.04653416566959349,0.00011510247482444705,57.962156240395245,0.045473083288492554,0.0002245878570050748,53.1852799226895,0.0010610823811009389,5.2577974445096685e-6,4.776876317705751
20.0,180.0,0.2,0.9,0.9,3.0,0.058887002506885035,0.0001456572740910839,72.85980967411594,0.0578047073643383,0.0002854927445627488,68.18152414456038,0.0010822951425467414,5.362909361272448e-6,4.678285529555551
20.0,200.0,0.2,0.9,0.9,3.0,0.03001908709055405,7.425235128586686e-5,67.91882976634564,0.02869277361988157,0.0001417112734128517,61.649895746556076,0.0013263134706724838,6.572051049877115e-6,6.268934019789579
20.0,220.0,0.2,0.9,0.9,3.0,0.020631798256606486,5.1032848773430346e-5,41.45909268444642,0.019767748920861746,9.763130289153291e-5,35.94627604179488,0.0008640493357447384,4.281473776518013e-6,5.512816642651528
20.0,240.0,0.2,0.9,0.9,3.0,0.05238616963302928,0.00012957743379666875,54.40827627623765,0.05123829908269091,0.00025306178854334993,50.4447090730778,0.0011478705503383839,5.68784380335775e-6,3.963567203159834
20.0,260.0,0.2,0.9,0.9,3.0,0.05337141898476504,0.00013201445264233097,62.36681840138053,0.05218779398771904,0.0002577512665935764,58.96421287919709,0.0011836249970459945,5.865011610379558e-6,3.4026055221834333
20.0,280.0,0.2,0.9,0.9,3.0,0.05093432720176298,0.00012598629480257075,75.3508594380192,0.04967354573140937,0.00024533359910705626,71.67029689568608,0.0012607814703536344,6.247331697311335e-6,3.6805625423331048
20.0,300.0,0.2,0.9,0.9,3.0,0.02774616100049332,6.863025804975684e-5,53.25164274403877,0.02676131623073125,0.00013217196258200552,47.86369256255041,0.0009848447697620704,4.880030434885849e-6,5.387950181488376
20.0,320.0,0.2,0.9,0.9,3.0,0.05564067132606268,0.00013762745884381963,75.9154806296035,0.0544363738272186,0.00026885681939399134,71.78306476259019,0.0012042974988440824,5.967446472235273e-6,4.132415867013348
20.0,340.0,0.2,0.9,0.9,3.0,0.05543076217351494,0.0001371082475804632,59.179099677842494,0.054185447337341264,0.0002676175138850637,54.58367416814092,0.0012453148361736643,6.17069256814001e-6,4.595425509701578
20.0,360.0,0.2,0.9,0.9,3.0,0.05106211435134714,0.00012630237691033504,62.47204424824801,0.049480973067167734,0.0002443824983931372,56.57487812726761,0.001581141284179422,7.834755106141443e-6,5.8971661209803825
20.0,380.0,0.2,0.9,0.9,3.0,0.05473713338727495,0.00013539255355743984,61.769376044069816,0.05344641277160456,0.0002639674823198303,57.77691233602018,0.001290720615670378,6.395683950200362e-6,3.9924637080496646
20.0,400.0,0.2,0.9,0.9,3.0,0.055993051702393964,0.00013849907334064523,52.04463535666746,0.05477892800153216,0.0002705486665781627,47.90638013386608,0.0012141237008618053,6.016136546425757e-6,4.138255222801401
30.0,20.0,0.2,0.9,0.9,3.0,0.5191023292690368,0.0012675166799856064,66.88696138265792,0.5188420904596392,0.0025317953013954853,65.95090266709902,0.0002602388093973697,1.2718630163221573e-6,0.9360587155588939
30.0,40.0,0.2,0.9,0.9,3.0,0.02812155692737883,6.866573402359717e-5,55.17117564312233,0.028111045590811807,0.00013717355328878822,54.31987873162835,1.0511336567013607e-5,5.137196970220399e-8,0.8512969114939758
30.0,60.0,0.2,0.9,0.9,3.0,0.04197504473764829,0.00010249244965444381,41.51354416706811,0.04188547490786423,0.00020438867724571863,40.82695390128695,8.956982978406544e-5,4.3775390052093863e-7,0.6865902657811647
30.0,80.0,0.2,0.9,0.9,3.0,0.005604445487896371,1.3684639304126585e-5,12.72385696849239,0.0054185846165819285,2.6441083568071018e-5,11.581186603801042,0.00018586087131444465,9.083563245376696e-7,1.142670364691351
30.0,100.0,0.2,0.9,0.9,3.0,0.0029151035459992316,7.117946038967252e-6,26.979869437380103,0.0028174447273685544,1.3748293467042997e-5,25.86388828289617,9.765881863067717e-5,4.772871499131865e-7,1.115981154483931
30.0,120.0,0.2,0.9,0.9,3.0,0.028400179594266533,6.934606015158727e-5,20.301798180730778,0.028010151353673032,0.00013668121937790691,18.87104294653435,0.0003900282405934969,1.9061818476682704e-6,1.4307552341964334
30.0,140.0,0.2,0.9,0.9,3.0,0.04345876538410694,0.00010611532044848079,37.22885453769744,0.04331415405039103,0.00021136020713267653,36.12957641782666,0.00014461133371590653,7.067577949660799e-7,1.099278119870771
30.0,160.0,0.2,0.9,0.9,3.0,0.025844639556179695,6.310607731581899e-5,29.148928449571066,0.02569044478445104,0.0001253617402906,28.099102431416426,0.0001541947717286552,7.535948536117768e-7,1.0498260181546377
30.0,180.0,0.2,0.9,0.9,3.0,0.01788005975145322,4.365858655656405e-5,22.505762817087014,0.017724508987648026,8.649033954572761e-5,21.211976484678733,0.00015555076380519312,7.602219826574721e-7,1.2937863324082846
30.0,200.0,0.2,0.9,0.9,3.0,0.020491119646420693,5.003413484965884e-5,21.413669719230942,0.02027305274355611,9.89264761376775e-5,20.24568459354269,0.00021806690286459152,1.0657566005610288e-6,1.1679851256882616
30.0,220.0,0.2,0.9,0.9,3.0,0.01978715243162444,4.8315224845587536e-5,22.69721322495914,0.019680298103158234,9.603400954517298e-5,21.893048714918493,0.00010685432846619802,5.222282903338198e-7,0.8041645100406422
30.0,240.0,0.2,0.9,0.9,3.0,0.021880795438395988,5.342737187978588e-5,22.3076894451239,0.021532761673384377,0.00010507348157210503,21.236402762408375,0.00034803376501161166,1.7009425887501747e-6,1.0712866827155227
30.0,260.0,0.2,0.9,0.9,3.0,0.039545920688227564,9.656114271014532e-5,32.846862988152864,0.03920117040371632,0.0001912900685243333,31.337092520034986,0.0003447502845112507,1.6848952612093876e-6,1.509770468117864
30.0,280.0,0.2,0.9,0.9,3.0,0.0235579401294544,5.752253530095422e-5,22.64357086408504,0.023173241990528285,0.00011307853828463443,21.115546351781283,0.0003846981389261117,1.8801320851455989e-6,1.5280245123037537
30.0,300.0,0.2,0.9,0.9,3.0,0.024348001739178993,5.945166605625698e-5,24.22603656616158,0.024081131113238036,0.00011750876755348251,22.655525004335182,0.00026687062594095407,1.3042746393708126e-6,1.5705115618263914
30.0,320.0,0.2,0.9,0.9,3.0,0.01704782108158455,4.1626470081045674e-5,22.190462755239512,0.016718839179020013,8.158296957120593e-5,20.52962416138065,0.0003289819025645436,1.60783057638509e-6,1.6608385938588606
30.0,340.0,0.2,0.9,0.9,3.0,0.04047528422503758,9.88304135614934e-5,30.31472538285776,0.040314407756668606,0.00019672233616677858,29.058821389752598,0.00016087646836897686,7.862502552514795e-7,1.2559039931051665
30.0,360.0,0.2,0.9,0.9,3.0,0.027487580847526828,6.711772468012952e-5,19.999368352646698,0.027173452956215937,0.00013259837970410488,18.928214029755082,0.00031412789131090067,1.5352346880112918e-6,1.0711543228916165
30.0,380.0,0.2,0.9,0.9,3.0,0.02329600439357916,5.688295444071481e-5,26.28495100439567,0.022874045887002745,0.00011161855016294844,25.24942884625251,0.0004219585065764237,2.0622343768780993e-6,1.0355221581431555
30.0,400.0,0.2,0.9,0.9,3.0,0.039771718139419154,9.711248301348511e-5,31.448247458266696,0.0392747998053796,0.00019164935813595777,30.250528067486552,0.0004969183340395543,2.428584931897236e-6,1.197719390780138
40.0,20.0,0.2,0.9,0.9,3.0,0.015452435256296469,3.753386011364026e-5,36.440174079236826,0.015444702718455905,7.448087866609956e-5,36.29707104520343,7.732537840562914e-6,3.784365064396873e-8,0.14310303403341365
40.0,40.0,0.2,0.9,0.9,3.0,0.014943403631923454,3.629742576101285e-5,21.168689455664044,0.014934474835659748,7.202034435065494e-5,20.933140359645094,8.928796263704325e-6,4.36982338065353e-8,0.2355490960189457
40.0,60.0,0.2,0.9,0.9,3.0,0.01073303965029665,2.6070480293016394e-5,28.094251029915743,0.010720440626589962,5.1698491846141444e-5,27.823537006760173,1.2599023706691316e-5,6.166061666196728e-8,0.2707140231555726
40.0,80.0,0.2,0.9,0.9,3.0,0.002526151954432734,6.1360059117440415e-6,13.046946648954748,0.0024708463465116523,1.1915464498853647e-5,12.567480322978309,5.530560792108163e-5,2.7067001131744335e-7,0.4794663259764353
40.0,100.0,0.2,0.9,0.9,3.0,0.0034987562901872583,8.498455226602373e-6,7.069522295361149,0.003470672685324776,1.673704932219402e-5,6.668762202685638,2.8083604862481664e-5,1.374433792827904e-7,0.4007600926755108
40.0,120.0,0.2,0.9,0.9,3.0,0.012108152050270398,2.9410618957575153e-5,31.838106216574896,0.011980899667274898,5.7776957620730906e-5,31.130514848726115,0.00012725238299550568,6.227832084354664e-7,0.7075913678487855
40.0,140.0,0.2,0.9,0.9,3.0,0.006625361255590441,1.6092957417073452e-5,8.783050882596374,0.0065312754866382276,3.1496568494897246e-5,8.168313422632531,9.408576895221479e-5,4.6046318093899884e-7,0.6147374599638407
40.0,160.0,0.2,0.9,0.9,3.0,0.0085725485636512,2.082266214151343e-5,11.219082599638037,0.008505616007931144,4.101767223464491e-5,10.795096544574738,6.693255572005625e-5,3.275732117456258e-7,0.4239860550633036
40.0,180.0,0.2,0.9,0.9,3.0,0.006058269413317361,1.4715495190154161e-5,22.45143139019074,0.005935897700852126,2.8625405389204337e-5,21.684156503063644,0.0001223717124652337,5.988968215513278e-7,0.767274887127114
40.0,200.0,0.2,0.9,0.9,3.0,0.006523472690951457,1.5845470786719774e-5,16.881812890716912,0.0063918769443908115,3.082432985744169e-5,15.77574469558029,0.0001315957465606439,6.440399726140517e-7,1.1060681951366196
40.0,220.0,0.2,0.9,0.9,3.0,0.005311115064562266,1.2900662359966784e-5,9.566632146932186,0.005218200915014336,2.5164368411059233e-5,9.07015930431133,9.291414954792969e-5,4.547291830798649e-7,0.4964728426208542
40.0,240.0,0.2,0.9,0.9,3.0,0.0022273598726572892,5.4102419778130995e-6,11.435291649513298,0.0021473051200305722,1.0355212076240002e-5,10.782671769106381,8.005475262671664e-5,3.917942793506273e-7,0.6526198804069187
40.0,260.0,0.2,0.9,0.9,3.0,0.005753334154408636,1.3974809520758907e-5,15.10160158461311,0.005658847647270691,2.728935303511291e-5,14.634839559227352,9.448650713794364e-5,4.6242442525659745e-7,0.46676202538576134
40.0,280.0,0.2,0.9,0.9,3.0,0.006944673704051274,1.686856518208184e-5,16.81710553194347,0.006833025041928474,3.295173227660384e-5,16.19780004147824,0.0001116486621228003,5.464173666344675e-7,0.6193054904652322
40.0,300.0,0.2,0.9,0.9,3.0,0.0033532765593682528,8.145085950150908e-6,13.039099493766248,0.0032664486262081022,1.5752194667167807e-5,12.349193343381577,8.682793316015019e-5,4.249427595961671e-7,0.6899061503846702
40.0,320.0,0.2,0.9,0.9,3.0,0.006787455301792389,1.6486682752561838e-5,17.198969479522344,0.006692970442108746,3.2276329852487433e-5,16.479189223136625,9.44848596836418e-5,4.624163624851845e-7,0.7197802563857214
40.0,340.0,0.2,0.9,0.9,3.0,0.001460371306364839,3.547231968160935e-6,6.008745053380959,0.0013402436036400397,6.463220629455381e-6,5.244160016848177,0.00012012770272479904,5.879144607262446e-7,0.7645850365327818
40.0,360.0,0.2,0.9,0.9,3.0,0.0033989806220887657,8.256100807571375e-6,11.557131737782743,0.003253665553007283,1.5690549290017727e-5,10.729891487078767,0.00014531506908148316,7.111834201154709e-7,0.8272402507039757
40.0,380.0,0.2,0.9,0.9,3.0,0.00624066044352843,1.5158521761719023e-5,15.484599350545302,0.006097478249619861,2.9404615029360792e-5,14.572347260375093,0.0001431821939085717,7.007449606374659e-7,0.9122520901702085
40.0,400.0,0.2,0.9,0.9,3.0,0.005042625264931068,1.2248502463215856e-5,11.027673375464131,0.0049220578235292965,2.3736241365380103e-5,10.375804011254933,0.00012056744140177188,5.900665765269206e-7,0.6518693642091977
50.0,20.0,0.2,0.9,0.9,3.0,0.007260362144378834,1.7929449870259664e-5,11.904164184278764,0.007249418430595903,3.5981838038917477e-5,11.635622510378541,1.0943713782930899e-5,5.3786391644112545e-8,0.26854167390022204
50.0,40.0,0.2,0.9,0.9,3.0,0.022361195147901247,5.522092692770085e-5,25.6918242827406,0.022338302135052966,0.00011087415869052134,25.39758586578409,2.289301284827326e-5,1.1251505470578524e-7,0.29423841695650943
50.0,60.0,0.2,0.9,0.9,3.0,0.007857300299544788,1.9403587456768296e-5,7.7490873472261805,0.00785092459120143,3.896735990629575e-5,7.5934683530981575,6.375708343355319e-6,3.133546369781832e-8,0.15561899412802263
