TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y)
10.0,20.0,0.2,0.9,0.9,3.0,0.9716822130736662,0.0024113301545553327,381.9455896109492,0.8714085948008643,0.0043297272933168485,320.1715509222942,0.10027361827280228,0.0004971338595805548,61.77403868865491
10.0,40.0,0.2,0.9,0.9,3.0,0.9617022583855572,0.002386563862287401,381.6905075357273,0.6147918782892019,0.003054687767621324,311.07920401208816,0.3469103800963556,0.0017199029929952773,70.61130352363904
10.0,60.0,0.2,0.9,0.9,3.0,1.0748347654106096,0.0026673139079088186,293.4844008333089,0.6455806637284124,0.003207666571639994,227.68711424983456,0.4292541016821971,0.0021281444909018034,65.79728658347427
10.0,80.0,0.2,0.9,0.9,3.0,0.9009579833335772,0.0022358206458544193,296.961084341337,0.4814750938618011,0.0023922828709557545,234.69807054398854,0.4194828894717761,0.0020797010366551266,62.2630137973484
10.0,100.0,0.2,0.9,0.9,3.0,0.6550631830652294,0.001625607204918997,286.5692588355783,0.5222065168843988,0.002594663195190308,232.95168661838437,0.13285666618083047,0.000658673222001365,53.61757221719393
10.0,120.0,0.2,0.9,0.9,3.0,0.6003054899241499,0.0014897203121793411,287.40106025796393,0.44863373293951697,0.0022291055307467364,234.2669187146321,0.15167175698463298,0.0007519541753644489,53.13414154333179
10.0,140.0,0.2,0.9,0.9,3.0,0.8057394692623633,0.0019995260310486395,276.9055574597288,0.4851178270275649,0.00241038234955188,213.9312632472263,0.32062164223479855,0.0015895693923759994,62.97429421250258
10.0,160.0,0.2,0.9,0.9,3.0,0.7127759204701368,0.0017688273463746854,304.8151550993537,0.40933210184985663,0.0020338293470872687,243.58765293162395,0.3034438186202802,0.0015044056384417729,61.227502167729774
10.0,180.0,0.2,0.9,0.9,3.0,0.7395689809205329,0.0018353171037537946,282.2145500082878,0.4368946052147724,0.0021707778736490073,222.8419030441586,0.30267437570576045,0.0015005909149640435,59.372646964129245
10.0,200.0,0.2,0.9,0.9,3.0,0.8258387800624183,0.002049404554670722,316.0063449135485,0.4993966328996281,0.0024813287871577345,250.83896557557742,0.32644214716279035,0.001618426135848525,65.1673793379711
10.0,220.0,0.2,0.9,0.9,3.0,0.7833331874429353,0.001943922519658074,285.6895445201803,0.42254563767754916,0.0020994828270457194,218.41353869624834,0.3607875497653862,0.0017887028531823367,67.27600582393194
10.0,240.0,0.2,0.9,0.9,3.0,0.7166333603310844,0.0017783999833242323,277.9506532619326,0.373444024274337,0.0018555139277644781,214.71942588045823,0.34318933605674706,0.0017014549004965391,63.231227381474326
