ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),HITS,FRAMEWORK
0.0,4.0,20.0,0.15,0.95,0.1,0.1,0.6611402943123658,0.5734376871103961,3.2145897586099395,0.6611402943123658,0.5734376871103961,3.2145897586099395,,,,,,,0.4984170380812698,177423.0
0.0,4.0,40.0,0.15,0.95,0.1,0.1,0.7295554163891205,0.5927664420373079,5.496017286461038,0.7295554163891205,0.5927664420373079,5.496017286461038,,,,,,,0.49950873595625617,177423.0
0.0,4.0,60.0,0.15,0.95,0.1,0.1,0.7500208832078378,0.596623726088317,5.662160476502895,0.7500208832078378,0.596623726088317,5.662160476502895,,,,,,,0.5013646223437329,177423.0
0.0,4.0,80.0,0.15,0.95,0.1,0.1,0.7390899119312103,0.5923140663141586,6.109402416993094,0.7390899119312103,0.5923140663141586,6.109402416993094,,,,,,,0.5037663576687029,177423.0
0.0,4.0,100.0,0.15,0.95,0.1,0.1,0.7414322846756713,0.5958192441421629,6.193985573808346,0.7414322846756713,0.5958192441421629,6.193985573808346,,,,,,,0.5037663576687029,177423.0
0.0,4.0,120.0,0.15,0.95,0.1,0.1,0.7369464801198452,0.590594001360084,5.775096148059894,0.7369464801198452,0.590594001360084,5.775096148059894,,,,,,,0.5059497534186757,177423.0
0.0,4.0,140.0,0.15,0.95,0.1,0.1,0.7217766256582674,0.5837024488345315,5.561239542718862,0.7217766256582674,0.5837024488345315,5.561239542718862,,,,,,,0.5048580555436892,177423.0
0.0,4.0,160.0,0.15,0.95,0.1,0.1,0.7217222194893739,0.5845157688550869,5.645154477714859,0.7217222194893739,0.5845157688550869,5.645154477714859,,,,,,,0.5066047721436674,177423.0
0.0,4.0,180.0,0.15,0.95,0.1,0.1,0.7334691660239933,0.5883912792085644,5.581676805511135,0.7334691660239933,0.5883912792085644,5.581676805511135,,,,,,,0.504639715968692,177423.0
0.0,4.0,200.0,0.15,0.95,0.1,0.1,0.7476637481490102,0.593662255945856,6.659122128191851,0.7476637481490102,0.593662255945856,6.659122128191851,,,,,,,0.5049672253311879,177423.0
0.0,4.0,220.0,0.15,0.95,0.1,0.1,0.7331061494874231,0.5890214780052702,6.303800314988184,0.7331061494874231,0.5890214780052702,6.303800314988184,,,,,,,0.505840583631177,177423.0
0.0,4.0,240.0,0.15,0.95,0.1,0.1,0.7562875924685704,0.5967669461060308,5.904943456023806,0.7562875924685704,0.5967669461060308,5.904943456023806,,,,,,,0.5047488857561906,177423.0
0.0,4.0,260.0,0.15,0.95,0.1,0.1,0.7389949002978385,0.5894263765775885,5.851293493691287,0.7389949002978385,0.5894263765775885,5.851293493691287,,,,,,,0.504639715968692,177423.0
0.0,4.0,280.0,0.15,0.95,0.1,0.1,0.7518669627353344,0.5879222802711708,6.0508834013278445,0.7518669627353344,0.5879222802711708,6.0508834013278445,,,,,,,0.5059497534186757,177423.0
0.0,4.0,300.0,0.15,0.95,0.1,0.1,0.7574678196208842,0.5937927256371017,6.473683100497953,0.7574678196208842,0.5937927256371017,6.473683100497953,,,,,,,0.5057314138436784,177423.0
0.0,4.0,320.0,0.15,0.95,0.1,0.1,0.7577365694525932,0.5941968937776637,6.3398346257117835,0.7577365694525932,0.5941968937776637,6.3398346257117835,,,,,,,0.5057314138436784,177423.0
0.0,4.0,340.0,0.15,0.95,0.1,0.1,0.7829119536853412,0.60298001886906,6.5647230490505875,0.7829119536853412,0.60298001886906,6.5647230490505875,,,,,,,0.504639715968692,177423.0
0.0,4.0,360.0,0.15,0.95,0.1,0.1,0.7826919075486113,0.6015609967985016,6.4050315885548175,0.7826919075486113,0.6015609967985016,6.4050315885548175,,,,,,,0.5043122066061961,177423.0
0.0,4.0,380.0,0.15,0.95,0.1,0.1,0.7897653893383719,0.6052226982017915,6.710497939841878,0.7897653893383719,0.6052226982017915,6.710497939841878,,,,,,,0.5027838295812151,177423.0
0.0,4.0,400.0,0.15,0.95,0.1,0.1,0.7881941528535412,0.6040820380748682,6.4958918187303345,0.7881941528535412,0.6040820380748682,6.4958918187303345,,,,,,,0.5035480180937056,177423.0
0.0,4.0,420.0,0.15,0.95,0.1,0.1,0.786214916712433,0.6053925954597567,6.142821565720529,0.786214916712433,0.6053925954597567,6.142821565720529,,,,,,,0.5040938670311989,177423.0
0.0,4.0,440.0,0.15,0.95,0.1,0.1,0.7704607987369421,0.5964186817413902,6.9869562162744785,0.7704607987369421,0.5964186817413902,6.9869562162744785,,,,,,,0.5048580555436892,177423.0
0.0,4.0,460.0,0.15,0.95,0.1,0.1,0.7571563163825171,0.5944665232439652,6.3881555599588,0.7571563163825171,0.5944665232439652,6.3881555599588,,,,,,,0.5040938670311989,177423.0
0.0,4.0,480.0,0.15,0.95,0.1,0.1,0.7891968433175969,0.6070530522273254,7.303160882359863,0.7891968433175969,0.6070530522273254,7.303160882359863,,,,,,,0.503438848306207,177423.0
0.0,4.0,500.0,0.15,0.95,0.1,0.1,0.7785650668751286,0.5989031956667097,6.9067685872921905,0.7785650668751286,0.5989031956667097,6.9067685872921905,,,,,,,0.5037663576687029,177423.0
1.0,4.0,20.0,0.15,0.95,0.1,0.1,0.6687996735897308,0.5725771589815556,1.9939038912487035,0.6687996735897308,0.5725771589815556,1.9939038912487035,,,,,,,0.5052947346936838,130727.0
1.0,4.0,40.0,0.15,0.95,0.1,0.1,0.753843897922617,0.599968810610283,4.89510954667685,0.753843897922617,0.599968810610283,4.89510954667685,,,,,,,0.5043122066061961,130727.0
1.0,4.0,60.0,0.15,0.95,0.1,0.1,0.7604326538108914,0.6002275588693674,5.748267251813274,0.7604326538108914,0.6002275588693674,5.748267251813274,,,,,,,0.5023471504312207,130727.0
1.0,4.0,80.0,0.15,0.95,0.1,0.1,0.7524338709578435,0.5961486437586151,5.882447336286833,0.7524338709578435,0.5961486437586151,5.882447336286833,,,,,,,0.5030021691562124,130727.0
1.0,4.0,100.0,0.15,0.95,0.1,0.1,0.7436860097381184,0.5922672808767137,5.883488228122948,0.7436860097381184,0.5922672808767137,5.883488228122948,,,,,,,0.5044213763936948,130727.0
1.0,4.0,120.0,0.15,0.95,0.1,0.1,0.738632780198477,0.5882706081436666,6.088682835282162,0.738632780198477,0.5882706081436666,6.088682835282162,,,,,,,0.5049672253311879,130727.0
