ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),HITS,FRAMEWORK
0.0,20.0,20.0,0.95,0.95,0.1,0.1,0.7864173430257422,0.5755690855960298,2.2386630448595155,0.7864173430257422,0.5755690855960298,2.2386630448595155,,,,,,,0.498727206859075,18430.0
0.0,20.0,40.0,0.95,0.95,0.1,0.1,0.7915593331128886,0.5889339075934117,2.676539303657567,0.7915593331128886,0.5889339075934117,2.676539303657567,,,,,,,0.49992512981523973,18430.0
0.0,20.0,60.0,0.95,0.95,0.1,0.1,0.8095389041516188,0.5959539797905022,3.1931474146358374,0.8095389041516188,0.5959539797905022,3.1931474146358374,,,,,,,0.4975292839029103,18430.0
0.0,20.0,80.0,0.95,0.95,0.1,0.1,0.8251475925203444,0.5973244039712733,3.1175692740005068,0.8251475925203444,0.5973244039712733,3.1175692740005068,,,,,,,0.5005240912933221,18430.0
0.0,20.0,100.0,0.95,0.95,0.1,0.1,0.9394180707069414,0.6345529345495289,3.309815683366479,0.9394180707069414,0.6345529345495289,3.309815683366479,,,,,,,0.501272793140925,18430.0
0.0,20.0,120.0,0.95,0.95,0.1,0.1,1.1870072141756933,0.687980036883658,4.347096796483554,1.1870072141756933,0.687980036883658,4.347096796483554,,,,,,,0.5017220142494868,18430.0
0.0,20.0,140.0,0.95,0.95,0.1,0.1,1.197495307031188,0.690522848956138,4.200612908981028,1.197495307031188,0.690522848956138,4.200612908981028,,,,,,,0.5015722738799662,18430.0
0.0,20.0,160.0,0.95,0.95,0.1,0.1,1.5748195765934392,0.7652810386686559,4.716512783044728,1.5748195765934392,0.7652810386686559,4.716512783044728,,,,,,,0.5024707160970897,18430.0
0.0,20.0,180.0,0.95,0.95,0.1,0.1,2.177296556629231,0.8275800354168527,5.116464624484801,2.177296556629231,0.8275800354168527,5.116464624484801,,,,,,,0.5011230527714045,18430.0
0.0,20.0,200.0,0.95,0.95,0.1,0.1,2.3837161353237186,0.8908810315351054,6.034883079218675,2.3837161353237186,0.8908810315351054,6.034883079218675,,,,,,,0.5005240912933221,18430.0
0.0,20.0,220.0,0.95,0.95,0.1,0.1,4.013426606084632,1.052025348695357,6.947979607932065,4.013426606084632,1.052025348695357,6.947979607932065,,,,,,,0.5003743509238014,18430.0
