ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),FRAMEWORK
0.0,1.0,20.0,0.95,0.75,0.3,0.7,7.012723087827055e-05,0.006336210823239186,0.024000110551823203,7.012723087827055e-05,0.006336210823239186,0.024000110551823203,,,,,,,58009.0
0.0,1.0,40.0,0.95,0.75,0.3,0.7,5.424029704709064e-05,0.005553940430663811,0.02175653474792951,5.424029704709064e-05,0.005553940430663811,0.02175653474792951,,,,,,,58009.0
0.0,1.0,60.0,0.95,0.75,0.3,0.7,4.9692733384688134e-05,0.005281669573473475,0.02132231842315662,4.9692733384688134e-05,0.005281669573473475,0.02132231842315662,,,,,,,58009.0
0.0,1.0,80.0,0.95,0.75,0.3,0.7,4.6556689031529376e-05,0.005076080138143709,0.020177066754767756,4.6556689031529376e-05,0.005076080138143709,0.020177066754767756,,,,,,,58009.0
0.0,1.0,100.0,0.95,0.75,0.3,0.7,4.350522079129831e-05,0.004885462726161446,0.019735301939128022,4.350522079129831e-05,0.004885462726161446,0.019735301939128022,,,,,,,58009.0
0.0,1.0,120.0,0.95,0.75,0.3,0.7,4.2361671286475296e-05,0.0048392200638153774,0.019461718851059163,4.2361671286475296e-05,0.0048392200638153774,0.019461718851059163,,,,,,,58009.0
0.0,1.0,140.0,0.95,0.75,0.3,0.7,4.237752513102028e-05,0.0047996572285814235,0.01904348005336886,4.237752513102028e-05,0.0047996572285814235,0.01904348005336886,,,,,,,58009.0
0.0,1.0,160.0,0.95,0.75,0.3,0.7,4.0801467875432155e-05,0.004732661100338265,0.018952925578008366,4.0801467875432155e-05,0.004732661100338265,0.018952925578008366,,,,,,,58009.0
0.0,1.0,180.0,0.95,0.75,0.3,0.7,4.0455273663892455e-05,0.004695028879881565,0.018825335286565013,4.0455273663892455e-05,0.004695028879881565,0.018825335286565013,,,,,,,58009.0
0.0,1.0,200.0,0.95,0.75,0.3,0.7,3.755330395480927e-05,0.00451887962639311,0.018119986557345886,3.755330395480927e-05,0.00451887962639311,0.018119986557345886,,,,,,,58009.0
0.0,1.0,220.0,0.95,0.75,0.3,0.7,4.129702132905253e-05,0.004704758820280176,0.018179591740038692,4.129702132905253e-05,0.004704758820280176,0.018179591740038692,,,,,,,58009.0
0.0,1.0,240.0,0.95,0.75,0.3,0.7,3.727621987091729e-05,0.004514323881661303,0.01789252741830019,3.727621987091729e-05,0.004514323881661303,0.01789252741830019,,,,,,,58009.0
0.0,1.0,260.0,0.95,0.75,0.3,0.7,3.770445296702244e-05,0.004522485040798646,0.01804829010844033,3.770445296702244e-05,0.004522485040798646,0.01804829010844033,,,,,,,58009.0
0.0,1.0,280.0,0.95,0.75,0.3,0.7,3.938860912593763e-05,0.004636629594520329,0.01813066162123223,3.938860912593763e-05,0.004636629594520329,0.01813066162123223,,,,,,,58009.0
0.0,1.0,300.0,0.95,0.75,0.3,0.7,3.7898098184458646e-05,0.004558807667900527,0.01825323131091424,3.7898098184458646e-05,0.004558807667900527,0.01825323131091424,,,,,,,58009.0
0.0,1.0,320.0,0.95,0.75,0.3,0.7,3.936473108693717e-05,0.004610318275897664,0.018117696216769837,3.936473108693717e-05,0.004610318275897664,0.018117696216769837,,,,,,,58009.0
0.0,1.0,340.0,0.95,0.75,0.3,0.7,3.8371269987203976e-05,0.004564315492284003,0.018381016229718473,3.8371269987203976e-05,0.004564315492284003,0.018381016229718473,,,,,,,58009.0
0.0,1.0,360.0,0.95,0.75,0.3,0.7,3.6337087136170933e-05,0.004448218145910932,0.017969619241780806,3.6337087136170933e-05,0.004448218145910932,0.017969619241780806,,,,,,,58009.0
0.0,1.0,380.0,0.95,0.75,0.3,0.7,3.5220387086542105e-05,0.004366632534591037,0.016981107868793296,3.5220387086542105e-05,0.004366632534591037,0.016981107868793296,,,,,,,58009.0
0.0,1.0,400.0,0.95,0.75,0.3,0.7,3.756257860074209e-05,0.004519774539973865,0.018663156804328115,3.756257860074209e-05,0.004519774539973865,0.018663156804328115,,,,,,,58009.0
0.0,1.0,420.0,0.95,0.75,0.3,0.7,3.462351161620741e-05,0.00434755667335831,0.017274967167976493,3.462351161620741e-05,0.00434755667335831,0.017274967167976493,,,,,,,58009.0
0.0,1.0,440.0,0.95,0.75,0.3,0.7,3.653729854641656e-05,0.004463440898922246,0.017708037705138267,3.653729854641656e-05,0.004463440898922246,0.017708037705138267,,,,,,,58009.0
0.0,1.0,460.0,0.95,0.75,0.3,0.7,3.398971388318314e-05,0.004300992726665346,0.017241954567892896,3.398971388318314e-05,0.004300992726665346,0.017241954567892896,,,,,,,58009.0
0.0,1.0,480.0,0.95,0.75,0.3,0.7,3.654355084912467e-05,0.004470824412391698,0.018477914141566153,3.654355084912467e-05,0.004470824412391698,0.018477914141566153,,,,,,,58009.0
0.0,1.0,500.0,0.95,0.75,0.3,0.7,3.578460736652804e-05,0.004419643905212399,0.017372866066726562,3.578460736652804e-05,0.004419643905212399,0.017372866066726562,,,,,,,58009.0
