ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),HITS,FRAMEWORK
0.0,20.0,20.0,0.25,0.95,0.1,0.1,1.078298708447261,0.6683333966835693,1.411776191381951,1.078298708447261,0.6683333966835693,1.411776191381951,,,,,,,0.5011931516880886,172315.0
0.0,20.0,40.0,0.25,0.95,0.1,0.1,1.105890675132182,0.6718457199145449,1.4425593660147171,1.105890675132182,0.6718457199145449,1.4425593660147171,,,,,,,0.4982741913083003,172315.0
0.0,20.0,60.0,0.25,0.95,0.1,0.1,1.0729117028349062,0.669202583102611,1.5260925962570624,1.0729117028349062,0.669202583102611,1.5260925962570624,,,,,,,0.499467342996389,172315.0
0.0,20.0,80.0,0.25,0.95,0.1,0.1,1.403087993823158,0.6946291872763525,1.4871029016767907,1.403087993823158,0.6946291872763525,1.4871029016767907,,,,,,,0.49846594782960024,172315.0
0.0,20.0,100.0,0.25,0.95,0.1,0.1,2.0232919861390766,0.7207915201150082,1.6219221906414136,2.0232919861390766,0.7207915201150082,1.6219221906414136,,,,,,,0.497294102421656,172315.0
0.0,20.0,120.0,0.25,0.95,0.1,0.1,2.0936506120966407,0.7250382900901494,1.5984376719997107,2.0936506120966407,0.7250382900901494,1.5984376719997107,,,,,,,0.4972301835812227,172315.0
0.0,20.0,140.0,0.25,0.95,0.1,0.1,2.6045854788288305,0.760052615582652,1.7661588262888417,2.6045854788288305,0.760052615582652,1.7661588262888417,,,,,,,0.4994247304361001,172315.0
0.0,20.0,160.0,0.25,0.95,0.1,0.1,2.615043338100358,0.7705157265419795,1.8650472550050832,2.615043338100358,0.7705157265419795,1.8650472550050832,,,,,,,0.4976563091841115,172315.0
0.0,20.0,180.0,0.25,0.95,0.1,0.1,3.5636710906650544,0.8127710306332568,1.8503371504510733,3.5636710906650544,0.8127710306332568,1.8503371504510733,,,,,,,0.49855117295017803,172315.0
0.0,20.0,200.0,0.25,0.95,0.1,0.1,3.2644300011285035,0.8016278407279808,1.9066211671774569,3.2644300011285035,0.8016278407279808,1.9066211671774569,,,,,,,0.4986790106310447,172315.0
