ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),HITS,FRAMEWORK
0.0,22.0,20.0,0.95,0.95,0.1,0.1,0.7492040691722119,0.6047011542839302,2.409020106786808,0.7492040691722119,0.6047011542839302,2.409020106786808,,,,,,,0.5019212482291525,18430.0
0.0,22.0,40.0,0.95,0.95,0.1,0.1,0.7521802081719774,0.6088397163081939,2.358172216286519,0.7521802081719774,0.6088397163081939,2.358172216286519,,,,,,,0.5031438607386132,18430.0
0.0,22.0,60.0,0.95,0.95,0.1,0.1,0.7745354963418536,0.6130597380934113,2.4433790525016303,0.7745354963418536,0.6130597380934113,2.4433790525016303,,,,,,,0.508034310776456,18430.0
0.0,22.0,80.0,0.95,0.95,0.1,0.1,0.7883563490778012,0.6201283138481226,2.6480307435898682,0.7883563490778012,0.6201283138481226,2.6480307435898682,,,,,,,0.5092569232859167,18430.0
0.0,22.0,100.0,0.95,0.95,0.1,0.1,0.8065750114998606,0.6239023773940164,2.6798494043117587,0.8065750114998606,0.6239023773940164,2.6798494043117587,,,,,,,0.5066370393370724,18430.0
0.0,22.0,120.0,0.95,0.95,0.1,0.1,0.8271518675540478,0.6315568033979327,2.7351209152423994,0.8271518675540478,0.6315568033979327,2.7351209152423994,,,,,,,0.5066370393370724,18430.0
0.0,22.0,140.0,0.95,0.95,0.1,0.1,0.9132036107442254,0.6602467278595854,3.1249727408772,0.9132036107442254,0.6602467278595854,3.1249727408772,,,,,,,0.5043664732480739,18430.0
0.0,22.0,160.0,0.95,0.95,0.1,0.1,0.9590547624176297,0.6813233561629191,3.3818980887375507,0.9590547624176297,0.6813233561629191,3.3818980887375507,,,,,,,0.503842496458305,18430.0
0.0,22.0,180.0,0.95,0.95,0.1,0.1,1.0082602367081719,0.7080103671208813,3.6912162450194823,1.0082602367081719,0.7080103671208813,3.6912162450194823,,,,,,,0.5045411321779969,18430.0
0.0,22.0,200.0,0.95,0.95,0.1,0.1,1.0465100855190934,0.7137991023702389,3.669978901643417,1.0465100855190934,0.7137991023702389,3.669978901643417,,,,,,,0.5033185196685361,18430.0
0.0,22.0,220.0,0.95,0.95,0.1,0.1,1.1790438734481687,0.7425494457096568,4.435797933061388,1.1790438734481687,0.7425494457096568,4.435797933061388,,,,,,,0.504191814318151,18430.0
0.0,22.0,240.0,0.95,0.95,0.1,0.1,1.480213995187079,0.7828286046215429,4.961676051573684,1.480213995187079,0.7828286046215429,4.961676051573684,,,,,,,0.5034931785984591,18430.0
0.0,22.0,260.0,0.95,0.95,0.1,0.1,1.7527394543225785,0.8386153629522792,4.842574635060854,1.7527394543225785,0.8386153629522792,4.842574635060854,,,,,,,0.5029692018086902,18430.0
