Date,CLOSE,VOLUME,HIGH,LOW,OPEN
2017-12-30,0.6188,,,,
2017-12-31,0.7176,,,,
2018-01-01,0.6806,,,,
2018-01-02,0.77,,,,
2018-01-03,1.02,,,,
2018-01-04,1.25,,,,
2018-01-05,0.94,,,,
2018-01-06,1.04,,,,
2018-01-07,1.02,,,,
2018-01-08,0.892,,,,
2018-01-09,0.809,,,,
2018-01-10,0.7679,,,,
2018-01-11,0.6509,,,,
2018-01-12,0.894,,,,
2018-01-13,0.89,,,,
2018-01-14,0.8134,,,,
2018-01-15,0.8,,,,
2018-01-16,0.5788,,,,
2018-01-17,0.6,,,,
2018-01-18,0.6365,,,,
2018-01-19,0.62,,,,
2018-01-20,0.7089,,,,
2018-01-21,0.5905,,,,
2018-01-22,0.569,,,,
2018-01-23,0.577,,,,
2018-01-24,0.6099,,,,
2018-01-25,0.635,,,,
2018-01-26,0.611,,,,
2018-01-27,0.6256,,,,
2018-01-28,0.6456,,,,
2018-01-29,0.5904,,,,
2018-01-30,0.525,,,,
2018-01-31,0.503,,,,
2018-02-01,0.4119,,,,
2018-02-02,0.3896,,,,
2018-02-03,0.4552,,,,
2018-02-04,0.4,,,,
2018-02-05,0.3118,,,,
2018-02-06,0.34,,,,
2018-02-07,0.345,,,,
2018-02-08,0.344,,,,
2018-02-09,0.375,,,,
2018-02-10,0.3865,,,,
2018-02-11,0.362,,,,
2018-02-12,0.37,,,,
2018-02-13,0.355,,,,
2018-02-14,0.387,,,,
2018-02-15,0.393,,,,
2018-02-16,0.3921,,,,
2018-02-17,0.41,,,,
2018-02-18,0.3686,,,,
2018-02-19,0.374,,,,
2018-02-20,0.35,,,,
2018-02-21,0.333,,,,
2018-02-22,0.3127,,,,
2018-02-23,0.32,,,,
2018-02-24,0.2995,,,,
2018-02-25,0.327,,,,
2018-02-26,0.33,,,,
2018-02-27,0.3306,,,,
2018-02-28,0.3083,,,,
2018-03-01,0.304,,,,
2018-03-02,0.2928,,,,
2018-03-03,0.2912,,,,
2018-03-04,0.303,,,,
2018-03-05,0.2977,,,,
2018-03-06,0.278,,,,
2018-03-07,0.2465,,,,
2018-03-08,0.2131,,,,
2018-03-09,0.21,,,,
2018-03-10,0.2028,,,,
2018-03-11,0.2205,,,,
2018-03-12,0.2198,,,,
2018-03-13,0.2147,,,,
2018-03-14,0.192,,,,
2018-03-15,0.1822,,,,
2018-03-16,0.1805,,,,
2018-03-17,0.154,,,,
2018-03-18,0.153,,,,
2018-03-19,0.189,,,,
2018-03-20,0.203,,,,
2018-03-21,0.2075,,,,
2018-03-22,0.1965,,,,
2018-03-23,0.1807,,,,
2018-03-24,0.1882,,,,
2018-03-25,0.1874,,,,
2018-03-26,0.1578,,,,
2018-03-27,0.1569,,,,
2018-03-28,0.1573,,,,
2018-03-29,0.1441,,,,
2018-03-30,0.1438,,,,
2018-03-31,0.1519,,,,
2018-04-01,0.1484,,,,
2018-04-02,0.15,,,,
2018-04-03,0.1663,,,,
2018-04-04,0.1521,,,,
2018-04-05,0.1464,,,,
2018-04-06,0.1437,,,,
2018-04-07,0.1488,,,,
2018-04-08,0.1545,,,,
2018-04-09,0.1491,,,,
2018-04-10,0.1565,,,,
2018-04-11,0.1642,,,,
2018-04-12,0.211,,,,
2018-04-13,0.2012,,,,
2018-04-14,0.2082,,,,
2018-04-15,0.2241,,,,
2018-04-16,0.2426,,,,
2018-04-17,0.2518,,,,
2018-04-18,0.2625,,,,
2018-04-19,0.2699,,,,
2018-04-20,0.2975,,,,
2018-04-21,0.2839,,,,
2018-04-22,0.2902,,,,
2018-04-23,0.2858,,,,
2018-04-24,0.3159,,,,
2018-04-25,0.2852,,,,
2018-04-26,0.2853,,,,
2018-04-27,0.2897,,,,
2018-04-28,0.3458,,,,
2018-04-29,0.3634,,,,
2018-04-30,0.3362,,,,
2018-05-01,0.3593,,,,
2018-05-02,0.3685,,,,
2018-05-03,0.3712,,,,
2018-05-04,0.362,,,,
2018-05-05,0.363,,,,
2018-05-06,0.3421,,,,
2018-05-07,0.3345,,,,
2018-05-08,0.3257,,,,
2018-05-09,0.3165,,,,
2018-05-10,0.3046,,,,
2018-05-11,0.2526,,,,
2018-05-12,0.2618,,,,
2018-05-13,0.278,,,,
2018-05-14,0.2696,,,,
2018-05-15,0.2589,,,,
2018-05-16,0.2459,,,,
2018-05-17,0.2426,,,,
2018-05-18,0.2434,,,,
2018-05-19,0.2393,,,,
2018-05-20,0.2555,,,,
2018-05-21,0.2457,,,,
2018-05-22,0.224,,,,
2018-05-23,0.2059,,,,
2018-05-24,0.2018,,,,
2018-05-25,0.1977,,,,
2018-05-26,0.1992,,,,
2018-05-27,0.1906,,,,
2018-05-28,0.1759,,,,
2018-05-29,0.2049,,,,
2018-05-30,0.2042,,,,
2018-05-31,0.2249,,,,
2018-06-01,0.2145,,,,
2018-06-02,0.225,,,,
2018-06-03,0.2275,,,,
2018-06-04,0.2158,,,,
2018-06-05,0.2175,,,,
2018-06-06,0.2144,,,,
2018-06-07,0.2086,,,,
2018-06-08,0.2061,,,,
2018-06-09,0.2022,,,,
2018-06-10,0.174,,,,
2018-06-11,0.171,,,,
2018-06-12,0.1615,,,,
2018-06-13,0.154,,,,
2018-06-14,0.1714,,,,
2018-06-15,0.1622,,,,
2018-06-16,0.1624,,,,
2018-06-17,0.1616,,,,
2018-06-18,0.1659,,,,
2018-06-19,0.1635,,,,
2018-06-20,0.1613,,,,
2018-06-21,0.158,,,,
2018-06-22,0.1362,,,,
2018-06-23,0.1389,,,,
2018-06-24,0.1325,,,,
2018-06-25,0.1365,,,,
2018-06-26,0.1315,,,,
2018-06-27,0.1262,,,,
2018-06-28,0.1209,,,,
2018-06-29,0.119,,,,
2018-06-30,0.1344,,,,
2018-07-01,0.1419,,,,
2018-07-02,0.1585,,,,
2018-07-03,0.1535,,,,
2018-07-04,0.1558,,,,
2018-07-05,0.144,,,,
2018-07-06,0.144,,,,
2018-07-07,0.1376,,,,
2018-07-08,0.1465,,,,
2018-07-09,0.1431,,,,
2018-07-10,0.1307,,,,
2018-07-11,0.13,,,,
2018-07-12,0.1258,,,,
2018-07-13,0.1258,,,,
2018-07-14,0.1258,,,,
2018-07-15,0.1258,,,,
2018-07-16,0.1258,,,,
2018-07-17,0.1258,,,,
2018-07-18,0.1258,,,,
2018-07-19,0.1258,,,,
2018-07-20,0.1258,,,,
2018-07-21,0.1258,,,,
2018-07-22,0.1258,,,,
2018-07-23,0.1258,0.0,,,
2018-07-24,0.1258,0.0,,,
2018-07-25,0.1258,0.0,,,
2018-07-26,0.1258,0.0,,,
2018-07-27,0.1258,0.0,,,
2018-07-28,0.1258,0.0,,,
2018-07-29,0.1258,0.0,,,
2018-07-30,0.1258,0.0,,,
2018-07-31,0.1258,0.0,,,
2018-08-01,0.1258,0.0,,,
2018-08-02,0.1258,0.0,,,
2018-08-03,0.1258,0.0,,,
2018-08-04,0.1258,0.0,,,
2018-08-05,0.1258,0.0,,,
2018-08-06,0.1258,0.0,,,
2018-08-07,0.1258,0.0,,,
2018-08-08,0.1258,0.0,,,
2018-08-09,0.1258,0.0,,,
2018-08-10,0.1258,0.0,,,
2018-08-11,0.1258,0.0,,,
2018-08-12,0.1258,0.0,,,
2018-08-13,0.1258,0.0,,,
2018-08-14,0.1258,0.0,,,
2018-08-15,0.1258,0.0,,,
2018-08-16,0.1258,0.0,,,
2018-08-17,0.1258,0.0,,,
2018-08-18,0.1258,0.0,,,
2018-08-19,0.1258,0.0,,,
2018-08-20,0.1258,0.0,,,
2018-08-21,0.1258,0.0,,,
2018-08-22,0.0902,0.0,,,
2018-08-23,0.093,0.0,,,
2018-08-24,0.09359,0.0,,,
2018-08-25,0.09494,0.0,,,
2018-08-26,0.09517,0.0,,,
2018-08-27,0.09795,0.0,,,
2018-08-28,0.107,0.0,,,
2018-08-29,0.1083,0.0,,,
2018-08-30,0.101,0.0,,,
2018-08-31,0.103,0.0,,,
2018-09-01,0.1071,0.0,,,
2018-09-02,0.106,0.0,,,
