DATE,CLOSE,ADJ CLOSE,ADJ EV CLOSE,DPA EX,VOLUME
1986-01-02,2.7272727273e-07,1.0141170042e-08,1.1596085728e-07,0.0,0.00070910993403
1986-01-03,2.8727273508e-07,1.0682032734e-08,1.2214543965e-07,0.0,0.003600602792
1986-01-06,2.9090909524e-07,1.0817248206e-08,1.2369158294e-07,0.0,0.0012743518472
1986-01-07,2.8726909377e-07,1.0681897335e-08,1.2214389141e-07,0.0,0.0012220715982
1986-01-08,2.7272727273e-07,1.0141170042e-08,1.1596085728e-07,0.0,0.0009549528878
1986-01-09,2.7272727273e-07,1.0141170042e-08,1.1596085728e-07,0.0,0.0028807718353
1986-01-10,2.9090909524e-07,1.0817248206e-08,1.2369158294e-07,0.0,0.0030966162021
1986-01-13,2.6181819222e-07,9.7355236274e-09,1.1132242741e-07,0.0,0.00021724603154
1986-01-14,2.7272727273e-07,1.0141170042e-08,1.1596085728e-07,0.0,0.0011497221754
1986-01-15,2.7272727273e-07,1.0141170042e-08,1.1596085728e-07,0.0,0.0011497221754
1986-01-16,2.6909091256e-07,1.0361992637e-08,1.1441471399e-07,9.3709090909e-09,0.000670868798
1986-01-17,2.4727272987e-07,9.5218310499e-09,1.0513784504e-07,0.0,0.00059756459735
1986-01-20,2.4000000954e-07,9.2417774655e-09,1.0204555846e-07,0.0,0.00092442241482
1986-01-21,2.3272726753e-07,8.9617230465e-09,9.8953262668e-08,0.0,0.00067597428112
1986-01-22,2.4545454979e-07,9.4518176538e-09,1.0436477339e-07,0.0,0.00034718026833
1986-01-23,2.4327273802e-07,9.3678017454e-09,1.0343708926e-07,0.0,0.00037166517084
1986-01-24,2.2909090736e-07,8.8216962543e-09,9.7407119379e-08,0.0,0.0025662528604
1986-01-27,2.1818182685e-07,8.4016158777e-09,9.2768689511e-08,0.0,0.00020270968749
1986-01-28,2.1090908484e-07,8.1215614587e-09,8.9676393717e-08,0.0,0.00063085539059
1986-01-29,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.00083643996958
1986-01-30,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.00017984133775
1986-01-31,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.00034284376708
1986-02-03,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.00093587001573
1986-02-04,1.9963637265e-07,7.6874785698e-09,8.4883351363e-08,0.0,0.0010062615821
1986-02-05,1.8181818182e-07,7.0013462865e-09,7.7307238187e-08,0.0,0.0048194794576
1986-02-06,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.00018551961994
1986-02-07,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.0015318857868
1986-02-10,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.0015318857868
1986-02-11,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.0015318857868
1986-02-12,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.0015318857868
1986-02-13,2.1200364286e-07,8.1637100473e-09,9.0141788634e-08,0.0,0.00010077994838
1986-02-14,2.2181818702e-07,8.5416426699e-09,9.43148328e-08,0.0,0.00079095356282
1986-02-17,2.1818182685e-07,8.4016158777e-09,9.2768689511e-08,0.0,0.00012172574078
1986-02-18,2.1454544501e-07,8.2615882509e-09,9.1222537006e-08,0.0,0.0001819330733
1986-02-19,2.0727272467e-07,7.9815346665e-09,8.8130250428e-08,0.0,8.4476160049e-05
1986-02-20,1.9636000286e-07,7.5613140728e-09,8.3490272315e-08,0.0,0.00025418375223
1986-02-21,1.8181818182e-07,7.0013462865e-09,7.7307238187e-08,0.0,0.00042926696812
1986-02-24,1.636363593e-07,6.301211491e-09,6.9576512525e-08,0.0,0.0012889811655
1986-02-25,1.636363593e-07,6.301211491e-09,6.9576512525e-08,0.0,0.0014406926358
1986-02-26,1.9272726232e-07,7.4214266631e-09,8.1945668055e-08,0.0,0.00027228548728
1986-02-27,1.8181818182e-07,7.0013462865e-09,7.7307238187e-08,0.0,0.0004851045705
1986-02-28,1.8181818182e-07,7.0013462865e-09,7.7307238187e-08,0.0,0.0004851045705
1986-03-03,1.8181818182e-07,7.0013462865e-09,7.7307238187e-08,0.0,0.0004851045705
1986-03-04,2.036363645e-07,7.8415078743e-09,8.6584107138e-08,0.0,0.0054791767353
1986-03-05,1.8909090215e-07,7.2813998709e-09,8.0399524766e-08,0.0,0.0011042517423
1986-03-06,1.7454545064e-07,6.7212922849e-09,7.4214947001e-08,0.0,0.00026754888582
1986-03-07,1.5636363896e-07,6.0211579066e-09,6.6484225947e-08,0.0,0.00032611997922
1986-03-10,1.6000364043e-07,6.1613249159e-09,6.8031917481e-08,0.0,0.00044349375534
1986-03-11,1.8181818182e-07,7.0013462865e-09,7.7307238187e-08,0.0,0.00058826875403
1986-03-12,1.8545454199e-07,7.1413730787e-09,7.8853381476e-08,0.0,0.0010498434385
1986-03-13,1.8545818329e-07,7.1415132958e-09,7.8854929721e-08,0.0,0.0004444075023
1986-03-14,1.8909090215e-07,7.2813998709e-09,8.0399524766e-08,0.0,0.00044933995641
1986-03-17,1.9636364417e-07,7.5614542899e-09,8.349182056e-08,0.0,0.00082204292731
1986-03-18,2.0000000433e-07,7.7014810821e-09,8.5037963849e-08,0.0,0.00027181590739
1986-03-19,2.3272726753e-07,8.9617230465e-09,9.8953262668e-08,0.0,0.00061287746429
1986-03-20,2.4727637118e-07,9.521971267e-09,1.0513939328e-07,0.0,0.00032449054692
1986-03-21,2.4363636971e-07,9.3818042577e-09,1.0359170175e-07,0.0,0.00043738690723
1986-03-24,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.00045789590012
1986-03-25,2.4000000954e-07,9.2417774655e-09,1.0204555846e-07,0.0,0.00019461741302
1986-03-26,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.0009032665205
1986-03-27,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.0009032665205
1986-03-28,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.0009032665205
1986-03-31,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.00025038000584
1986-04-01,2.5090909004e-07,9.6618578421e-09,1.0668398833e-07,0.0,0.00015368459808
1986-04-02,2.4581818147e-07,9.4658201661e-09,1.0451938588e-07,0.0,0.00010648833274
1986-04-03,2.3635998639e-07,9.1016096216e-09,1.0049785771e-07,0.0,0.000263486311
1986-04-04,2.2908726606e-07,8.8215560372e-09,9.7405571134e-08,0.0,9.9594821236e-05
1986-04-07,2.3636362769e-07,9.1017498387e-09,1.0049940595e-07,0.0,0.0009980740579
1986-04-08,2.2909090736e-07,8.8216962543e-09,9.7407119379e-08,0.0,0.00029077888094
1986-04-09,2.2727636857e-07,8.7518230753e-09,9.6635595979e-08,0.0,0.00059200578603
1986-04-10,2.2364000841e-07,8.6117962831e-09,9.5089452689e-08,0.0,0.00040262612013
1986-04-11,2.2909090736e-07,8.8216962543e-09,9.7407119379e-08,0.0,0.000460660225
1986-04-14,2.3636362769e-07,9.1017498387e-09,1.0049940595e-07,0.0,0.0010243962425
1986-04-15,2.5454909151e-07,9.8020248513e-09,1.0823167986e-07,0.0,0.0010539490029
1986-04-16,2.4363636971e-07,9.3818042577e-09,1.0359170175e-07,0.0,0.00051167704868
1986-04-17,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.00099634408511
1986-04-18,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.00090215739369
1986-04-21,2.5454545021e-07,9.8018846342e-09,1.0823013161e-07,0.0,0.00090215739369
1986-04-22,2.36367269e-07,9.1018900558e-09,1.005009542e-07,0.0,0.00060656733565
1986-04-23,2.36367269e-07,9.1018900558e-09,1.005009542e-07,0.0,0.0010164364508
1986-04-24,2.4363636971e-07,9.3818042577e-09,1.0359170175e-07,0.0,0.0012917095411
1986-04-25,2.4545454979e-07,9.4518176538e-09,1.0436477339e-07,0.0,0.00048801456798
1986-04-28,2.3636362769e-07,9.1017498387e-09,1.0049940595e-07,0.0,0.0019611654691
1986-04-29,2.3272726753e-07,8.9617230465e-09,9.8953262668e-08,0.0,0.00050854561745
1986-04-30,2.2545454719e-07,8.6816694621e-09,9.5860976089e-08,0.0,0.00038732638598
1986-05-01,2.2545454719e-07,8.6816694621e-09,9.5860976089e-08,0.0,0.00038732638598
1986-05-02,2.2545454719e-07,8.6816694621e-09,9.5860976089e-08,0.0,0.00058922719279
1986-05-05,2.2181818702e-07,8.5416426699e-09,9.43148328e-08,0.0,0.00050022105577
1986-05-06,2.221818187e-07,8.5556451822e-09,9.4469445286e-08,0.0,0.00032592449236
1986-05-07,2.1636364677e-07,8.3316024816e-09,9.1995617866e-08,0.0,0.00067624427787
1986-05-08,2.1818182685e-07,8.4016158777e-09,9.2768689511e-08,0.0,0.00029534175162
1986-05-09,2.1091272614e-07,8.1217016758e-09,8.9677941961e-08,0.0,0.00060787982884
1986-05-12,2.1636364677e-07,8.3316024816e-09,9.1995617866e-08,0.0,0.00067341018538
1986-05-13,2.1636364677e-07,8.3316024816e-09,9.1995617866e-08,0.0,0.00044753318284
1986-05-14,2.1090908484e-07,8.1215614587e-09,8.9676393717e-08,0.0,0.00090128578509
1986-05-15,2.1818182685e-07,8.4016158777e-09,9.2768689511e-08,0.0,0.00028687709462
1986-05-16,2.1818182685e-07,8.4016158777e-09,9.2768689511e-08,0.0,0.00042260832605
1986-05-19,2.2181818702e-07,8.5416426699e-09,9.43148328e-08,0.0,0.00015524298924
1986-05-20,2.0727272467e-07,7.9815346665e-09,8.8130250428e-08,0.0,0.00024927607623
1986-05-21,2.0036363602e-07,7.7154835944e-09,8.5192576335e-08,0.0,0.00018581283695
1986-05-22,1.9272726232e-07,7.4214266631e-09,8.1945668055e-08,0.0,0.00046997332419
1986-05-23,1.9490909576e-07,7.5054434061e-09,8.2873361401e-08,0.0,0.00051337665153
1986-05-26,1.9490909576e-07,7.5054434061e-09,8.2873361401e-08,0.0,0.00051337665153
1986-05-27,1.9272726232e-07,7.4214266631e-09,8.1945668055e-08,0.0,0.00037845255728
1986-05-28,2.0000364564e-07,7.7016212992e-09,8.5039512094e-08,0.0,0.00067590759808
1986-05-29,2.0000364564e-07,7.7016212992e-09,8.5039512094e-08,0.0,0.00022043764396
1986-05-30,2.0000364564e-07,7.7016212992e-09,8.5039512094e-08,0.0,0.00019894596052
1986-06-02,2.036363645e-07,7.8415078743e-09,8.6584107138e-08,0.0,0.00035362381081
1986-06-03,2.0727272467e-07,7.9815346665e-09,8.8130250428e-08,0.0,0.00035261136571
1986-06-04,2.0727272467e-07,7.9815346665e-09,8.8130250428e-08,0.0,0.00067140879796
1986-06-05,2.1818182685e-07,8.4016158777e-09,9.2768689511e-08,0.0,0.00033663760055
1986-06-06,2.2181818702e-07,8.5416426699e-09,9.43148328e-08,0.0,0.00026593603745
1986-06-09,2.2545454719e-07,8.6816694621e-09,9.5860976089e-08,0.0,0.00065951946909
1986-06-10,2.2545454719e-07,8.6816694621e-09,9.5860976089e-08,0.0,0.0011642437423
1986-06-11,2.2909090736e-07,8.8216962543e-09,9.7407119379e-08,0.0,0.00035300198371
1986-06-12,2.2545454719e-07,8.6816694621e-09,9.5860976089e-08,0.0,0.00020423867731
1986-06-13,2.2545818849e-07,8.6818096792e-09,9.5862524334e-08,0.0,0.00026716795336
1986-06-16,2.1454544501e-07,8.2615882509e-09,9.1222537006e-08,0.0,0.00012210240533
1986-06-17,2.1636364677e-07,8.3316024816e-09,9.1995617866e-08,0.0,0.00022851164025
