DATE,CLOSE,ADJ CLOSE,ADJ EV CLOSE,DPA EX,VOLUME
1986-01-02,3.0909091776e-07,4.8565945292e-10,2.716619463e-09,0.0,0.0033635406525
1986-01-03,3.1818181818e-07,4.9994354045e-10,2.796519957e-09,0.0,0.016924791091
1986-01-06,3.363636407e-07,5.2851174957e-10,2.9563211355e-09,0.0,0.010786547905
1986-01-07,3.272727186e-07,5.1422762798e-10,2.876420451e-09,0.0,0.0175590513
1986-01-08,3.3454546061e-07,5.2565493207e-10,2.9403410367e-09,0.0,0.011167464408
1986-01-09,3.4545454112e-07,5.4279583711e-10,3.0362216295e-09,0.0,0.021579750168
1986-01-10,3.272727186e-07,5.1422762798e-10,2.876420451e-09,0.0,0.0034084606719
1986-01-13,3.1999999827e-07,5.0280035796e-10,2.8125000558e-09,0.0,0.0028271471956
1986-01-14,3.272727186e-07,5.1422762798e-10,2.876420451e-09,0.0,0.0082075677496
1986-01-15,3.3818182078e-07,5.3136856708e-10,2.9723012343e-09,0.0,0.01862281996
1986-01-16,3.3818182078e-07,5.3136856708e-10,2.9723012343e-09,0.0,0.0055447417321
1986-01-17,3.3272728053e-07,5.2279811456e-10,2.9243609379e-09,0.0,0.0080947967585
1986-01-20,3.272727186e-07,5.1422762798e-10,2.876420451e-09,0.0,0.0025102969849
1986-01-21,3.2036362995e-07,5.0337171465e-10,2.8156960374e-09,0.0,0.0031541699262
1986-01-22,3.272727186e-07,5.1422762798e-10,2.876420451e-09,0.0,0.0071433611897
1986-01-23,3.163636381e-07,4.9708672294e-10,2.7805398582e-09,0.0,0.0018316104913
1986-01-24,3.0909091776e-07,4.8565945292e-10,2.716619463e-09,0.0,0.0022612863688
1986-01-27,3.0545453592e-07,4.7994578385e-10,2.6846590749e-09,0.0,0.0011563772481
1986-01-28,2.9818181558e-07,4.6851851382e-10,2.6207386797e-09,0.0,0.0052627412934
1986-01-29,2.8909091516e-07,4.5423442629e-10,2.5408381857e-09,0.0,0.0060664732838
1986-01-30,2.8545455499e-07,4.4852079128e-10,2.5088779881e-09,0.0,0.0042920913844
1986-01-31,2.8727273508e-07,4.5137760878e-10,2.5248580869e-09,0.0,0.0040788768416
1986-02-03,3.3454546061e-07,5.2565493207e-10,2.9403410367e-09,0.0,0.023479855866
1986-02-04,3.1999999827e-07,5.0280035796e-10,2.8125000558e-09,0.0,0.0054813781912
1986-02-05,3.0545453592e-07,4.7994578385e-10,2.6846590749e-09,0.0,0.021870793928
1986-02-06,3.2363635843e-07,5.0851399297e-10,2.8444602534e-09,0.0,0.029225037065
1986-02-07,3.2363635843e-07,5.0851399297e-10,2.8444602534e-09,0.0,0.010392557672
1986-02-10,3.2363635843e-07,5.0851399297e-10,2.8444602534e-09,0.0,0.010392557672
1986-02-11,3.2363635843e-07,5.0851399297e-10,2.8444602534e-09,0.0,0.010392557672
1986-02-12,3.2363635843e-07,5.0851399297e-10,2.8444602534e-09,0.0,0.010392557672
1986-02-13,3.163599968e-07,4.9708100154e-10,2.7805078545e-09,0.0,0.00038305658631
1986-02-14,3.163636381e-07,4.9708672294e-10,2.7805398582e-09,0.0,0.0029362912126
1986-02-17,3.3090910045e-07,5.1994129705e-10,2.9083808391e-09,0.0,0.015742035725
1986-02-18,3.4909090129e-07,5.4850947212e-10,3.0681818271e-09,0.0,0.019378215281
1986-02-19,3.4545454112e-07,5.4279583711e-10,3.0362216295e-09,0.0,0.051091040201
1986-02-20,3.3381817558e-07,5.2451218463e-10,2.9339488829e-09,0.0,0.021523267785
1986-02-21,3.3454546061e-07,5.2565493207e-10,2.9403410367e-09,0.0,0.015226044248
1986-02-24,3.272727186e-07,5.1422762798e-10,2.876420451e-09,0.0,0.0062689205273
1986-02-25,3.0909091776e-07,4.8565945292e-10,2.716619463e-09,0.0,0.0028616977081
1986-02-26,3.1309090961e-07,4.9194444462e-10,2.7517756422e-09,0.0,0.0086537479196
1986-02-27,2.9090909524e-07,4.5709124379e-10,2.5568182845e-09,0.0,0.011410981289
1986-02-28,2.9090909524e-07,4.5709124379e-10,2.5568182845e-09,0.0,0.011410981289
1986-03-03,2.9090909524e-07,4.5709124379e-10,2.5568182845e-09,0.0,0.011410981289
1986-03-04,3.4545454112e-07,5.4279583711e-10,3.0362216295e-09,0.0,0.045903869898
1986-03-05,3.272727186e-07,5.1422762798e-10,2.876420451e-09,0.0,0.032430951808
1986-03-06,3.1999999827e-07,5.0280035796e-10,2.8125000558e-09,0.0,0.011501552513
1986-03-07,3.0909091776e-07,4.8565945292e-10,2.716619463e-09,0.0,0.020385549186
1986-03-10,3.3090910045e-07,5.1994129705e-10,2.9083808391e-09,0.0,0.0095991287599
1986-03-11,3.4545818242e-07,5.4280155851e-10,3.0362536331e-09,0.0,0.0052020394263
1986-03-12,3.6363636364e-07,5.7136404623e-10,3.196022808e-09,0.0,0.018028694434
1986-03-13,4.0000000867e-07,6.2850046447e-10,3.515625165e-09,0.0,0.017034290594
1986-03-14,4.0000000867e-07,6.2850046447e-10,3.515625165e-09,0.0,0.018004169459
1986-03-17,4.363636537e-07,6.8563688272e-10,3.835227522e-09,0.0,0.038183177467
1986-03-18,4.7272725539e-07,7.4277323285e-10,4.154829498e-09,0.0,0.039125578344
1986-03-19,4.7272725539e-07,7.4277323285e-10,4.154829498e-09,0.0,0.05706037984
1986-03-20,5.0909090042e-07,7.999096511e-10,4.474431855e-09,0.0,0.023066184357
1986-03-21,5.3090910478e-07,8.3419152929e-10,4.6661934216e-09,0.0,0.060096871093
1986-03-24,5.636363463e-07,8.8561424441e-10,4.9538352e-09,0.0,0.038554952207
1986-03-25,5.8181819049e-07,9.1418248759e-10,5.113636569e-09,0.0,0.027005257717
1986-03-26,5.636363463e-07,8.8561424441e-10,4.9538352e-09,0.0,0.12144380226
1986-03-27,5.636363463e-07,8.8561424441e-10,4.9538352e-09,0.0,0.12144380226
1986-03-28,5.636363463e-07,8.8561424441e-10,4.9538352e-09,0.0,0.12144380226
1986-03-31,5.636363463e-07,8.8561424441e-10,4.9538352e-09,0.0,0.038607495229
1986-04-01,5.4545454545e-07,8.5704606934e-10,4.794034212e-09,0.0,0.026627060772
1986-04-02,5.636363463e-07,8.8561424441e-10,4.9538352e-09,0.0,0.061674975553
1986-04-03,5.5999998613e-07,8.799006094e-10,4.9218750024e-09,0.0,0.021986698422
1986-04-04,6.2545455586e-07,9.8274617586e-10,5.4971593212e-09,0.0,0.086325863254
1986-04-07,6.5454543721e-07,1.0284552559e-09,5.752840902e-09,0.0,0.031564962573
1986-04-08,6.7636364157e-07,1.0627371341e-09,5.9446024686e-09,0.0,0.078830136595
1986-04-09,6.6181820089e-07,1.0398825941e-09,5.8167616781e-09,0.0,0.04408792709
1986-04-10,6.6181820089e-07,1.0398825941e-09,5.8167616781e-09,0.0,0.0413123295
1986-04-11,6.727272814e-07,1.0570234991e-09,5.912642271e-09,0.0,0.061981403324
1986-04-14,6.6545456106e-07,1.0455962291e-09,5.8487218758e-09,0.0,0.030397560513
1986-04-15,6.5454543721e-07,1.0284552559e-09,5.752840902e-09,0.0,0.031445609766
1986-04-16,6.1818183552e-07,9.7131890584e-10,5.433238926e-09,0.0,0.14487850832
1986-04-17,6.1818183552e-07,9.7131890584e-10,5.433238926e-09,0.0,0.02701828772
1986-04-18,6.3636363636e-07,9.998870809e-10,5.593039914e-09,0.0,0.027049112765
1986-04-21,6.3636363636e-07,9.998870809e-10,5.593039914e-09,0.0,0.027049112765
1986-04-22,6.2363637577e-07,9.7988935835e-10,5.4811792224e-09,0.0,0.018365537674
1986-04-23,6.1818183552e-07,9.7131890584e-10,5.433238926e-09,0.0,0.038003809651
1986-04-24,6.3636363636e-07,9.998870809e-10,5.593039914e-09,0.0,0.01798227215
1986-04-25,7.4545452811e-07,1.1712962675e-09,6.5518466039e-09,0.0,0.045893732174
1986-04-28,7.2727272727e-07,1.1427280924e-09,6.3920456159e-09,0.0,0.034201371031
1986-04-29,7.2727272727e-07,1.1427280924e-09,6.3920456159e-09,0.0,0.048790893866
1986-04-30,7.818182165e-07,1.2284327538e-09,6.8714493419e-09,0.0,0.074800940011
1986-05-01,7.818182165e-07,1.2284327538e-09,6.8714493419e-09,0.0,0.074800940011
1986-05-02,8.3636361902e-07,1.314137279e-09,7.350852306e-09,0.0,0.043756245063
1986-05-05,8.0000001734e-07,1.2570009289e-09,7.0312503299e-09,0.0,0.024529310534
1986-05-06,7.2727272727e-07,1.1427280924e-09,6.3920456159e-09,0.0,0.032238390156
1986-05-07,7.4545452811e-07,1.1712962675e-09,6.5518466039e-09,0.0,0.018800408374
1986-05-08,7.7090904929e-07,1.2112917126e-09,6.7755679872e-09,0.0,0.08111339602
1986-05-09,8.0000001734e-07,1.2570009289e-09,7.0312503299e-09,0.0,0.015175900894
1986-05-12,7.272363576e-07,1.1426709465e-09,6.3917259606e-09,0.0,0.010152362722
1986-05-13,6.9090908224e-07,1.0855916742e-09,6.072443259e-09,0.0,0.024141660811
1986-05-14,6.9090908224e-07,1.0855916742e-09,6.072443259e-09,0.0,0.02592933496
1986-05-15,6.5454543721e-07,1.0284552559e-09,5.752840902e-09,0.0,0.016240362316
1986-05-16,4.8000001907e-07,1.0106540063e-09,5.6250002249e-09,2.4545455159e-09,0.011549526303
1986-05-19,4.7272725539e-07,9.953409908e-10,5.5397725255e-09,0.0,0.0092095829578
1986-05-20,4.5818181471e-07,9.6471514224e-10,5.3693181425e-09,0.0,0.019622449224
1986-05-21,4.0000000867e-07,8.4221165675e-10,4.6875001028e-09,0.0,0.023170731779
1986-05-22,4.1818180951e-07,8.8049396744e-10,4.9005680814e-09,0.0,0.089344557988
1986-05-23,5.0909090042e-07,1.0719057034e-09,5.9659089908e-09,0.0,0.073055163658
1986-05-26,5.0909090042e-07,1.0719057034e-09,5.9659089908e-09,0.0,0.073055163658
1986-05-27,5.3454546495e-07,1.1255010297e-09,6.2642046689e-09,0.0,0.14083548192
1986-05-28,5.636363463e-07,1.1867527268e-09,6.6051134348e-09,0.0,0.13275795584
1986-05-29,5.9636363116e-07,1.2556609773e-09,6.9886363044e-09,0.0,0.21838170175
1986-05-30,6.3636363636e-07,1.3398821521e-09,7.4573863655e-09,0.0,0.24058302526
