Date,CLOSE,HIGH,LOW,OPEN,COUNT
2018-02-12,862.78,,,,
2018-02-13,840.14,,,,
2018-02-14,920.56,,,,
2018-02-15,927.91,,,,
2018-02-16,937.45,,,,
2018-02-17,976.81,,,,
2018-02-18,913.6,,,,
2018-02-19,938.05,,,,
2018-02-20,884.25,,,,
2018-02-21,838.06,,,,
2018-02-22,803.63,,,,
2018-02-23,851.91,,,,
2018-02-24,832.73,,,,
2018-02-25,840.33,,,,
2018-02-26,868.47,,,,
2018-02-27,870.85,,,,
2018-02-28,850.19,,,,
2018-03-01,869.01,,,,
2018-03-02,853.79,,,,
2018-03-03,853.18,,,,
2018-03-04,862.4,,,,
2018-03-05,848.0,,,,
2018-03-06,813.09,,,,
2018-03-07,750.42,,,,
2018-03-08,696.37,,,,
2018-03-09,726.22,,,,
2018-03-10,681.2,,,,
2018-03-11,717.76,,,,
2018-03-12,696.16,,,,
2018-03-13,690.28,,,,
2018-03-14,612.01,,,,
2018-03-15,609.32,,,,
2018-03-16,598.86,,,,
2018-03-17,548.6,,,,
2018-03-18,537.73,,,,
2018-03-19,554.68,,,,
2018-03-20,556.9,,,,
2018-03-21,559.39,,,,
2018-03-22,538.5,,,,
2018-03-23,543.03,,,,
2018-03-24,519.89,,,,
2018-03-25,522.27,,,,
2018-03-26,485.4,,,,
2018-03-27,448.46,,,,
2018-03-28,445.51,,,,
2018-03-29,383.0,,,,
2018-03-30,393.48,,,,
2018-03-31,393.4,,,,
2018-04-01,378.03,,,,
2018-04-02,384.26,,,,
2018-04-03,415.32,,,,
2018-04-04,377.82,,,,
2018-04-05,381.05,,,,
2018-04-06,369.57,,,,
2018-04-07,384.66,,,,
2018-04-08,399.53,,,,
2018-04-09,398.34,,,,
2018-04-10,414.91,,,,
2018-04-11,430.0,,,,
2018-04-12,493.23,,,,
2018-04-13,495.86,,,,
2018-04-14,502.54,,,,
2018-04-15,533.67,,,,
2018-04-16,510.57,,,,
2018-04-17,502.52,,,,
2018-04-18,524.86,,,,
2018-04-19,566.46,,,,
2018-04-20,616.36,,,,
2018-04-21,604.85,,,,
2018-04-22,620.45,,,,
2018-04-23,643.33,,,,
2018-04-24,703.32,,,,
2018-04-25,617.02,,,,
2018-04-26,661.04,,,,
2018-04-27,642.57,,,,
2018-04-28,682.46,,,,
2018-04-29,688.67,,,,
2018-04-30,669.98,,,,
2018-05-01,669.86,,,,
2018-05-02,686.47,,,,
2018-05-03,776.0,,,,
2018-05-04,780.91,,,,
2018-05-05,815.45,,,,
2018-05-06,787.22,,,,
2018-05-07,750.98,,,,
2018-05-08,746.85,,,,
2018-05-09,749.32,,,,
2018-05-10,722.56,,,,
2018-05-11,677.7,,,,
2018-05-12,683.99,,,,
2018-05-13,728.85,,,,
2018-05-14,726.86,,,,
2018-05-15,704.67,,,,
2018-05-16,707.12,,,,
2018-05-17,667.87,,,,
2018-05-18,692.74,,,,
2018-05-19,695.22,,,,
2018-05-20,716.0,,,,
2018-05-21,696.94,,,,
2018-05-22,639.91,,,,
2018-05-23,577.1,,,,
2018-05-24,601.92,,,,
2018-05-25,584.99,,,,
2018-05-26,585.34,,,,
2018-05-27,569.67,,,,
2018-05-28,511.89,,,,
2018-05-29,566.78,,,,
2018-05-30,556.51,,,,
2018-05-31,576.45,,,,
2018-06-01,577.88,,,,
2018-06-02,590.5,,,,
2018-06-03,618.71,,,,
2018-06-04,590.65,,,,
2018-06-05,607.53,,,,
2018-06-06,605.59,,,,
2018-06-07,603.86,,,,
2018-06-08,598.47,,,,
2018-06-09,592.36,,,,
2018-06-10,524.83,,,,
2018-06-11,530.88,,,,
2018-06-12,493.82,,,,
2018-06-13,475.87,,,,
2018-06-14,519.42,,,,
2018-06-15,486.84,,,,
2018-06-16,496.5,,,,
2018-06-17,496.95,,,,
2018-06-18,517.04,,,,
2018-06-19,537.57,,,,
2018-06-20,535.25,,,,
2018-06-21,525.15,,,,
2018-06-22,462.09,,,,
2018-06-23,474.2,,,,
2018-06-24,454.74,,,,
2018-06-25,458.08,,,,
2018-06-26,428.98,,,,
2018-06-27,440.98,,,,
2018-06-28,419.63,,,,
2018-06-29,434.4,,,,
2018-06-30,453.4,,,,
2018-07-01,451.81,,,,
2018-07-02,475.63,,,,
2018-07-03,461.24,,,,
2018-07-04,466.44,,,,
2018-07-05,466.94,,,,
2018-07-06,470.01,,,,
2018-07-07,484.64,,,,
2018-07-08,485.71,,,,
2018-07-09,470.92,,,,
2018-07-10,432.06,,,,
2018-07-11,444.46,,,,
2018-07-12,430.57,,,,
2018-07-13,431.45,,,,
2018-07-14,432.63,,,,
2018-07-15,448.97,,,,
2018-07-16,478.03,,,,
2018-07-17,498.32,,,,
2018-07-18,478.92,,,,
2018-07-19,468.09,,,,
2018-07-20,448.08,,,,
2018-07-21,460.83,,,,
2018-07-22,456.4,,,,
2018-07-23,449.23,,,,
2018-07-24,478.2,,,,
2018-07-25,471.07,,,,
2018-07-26,461.46,,,,
2018-07-27,468.91,,,,
2018-07-28,468.04,,,,
2018-07-29,465.77,,,,
2018-07-30,455.81,,,,
2018-07-31,431.56,,,,
2018-08-01,419.4,,,,
2018-08-02,410.52,,,,
2018-08-03,417.36,,,,
2018-08-04,406.2,,,,
2018-08-05,408.19,,,,
2018-08-06,404.57,,,,
2018-08-07,377.79,,,,
2018-08-08,355.1,,,,
2018-08-09,363.56,,,,
2018-08-10,331.58,,,,
2018-08-11,317.44,,,,
2018-08-12,317.78,,,,
2018-08-13,283.65,,,,
2018-08-14,278.21,,,,
2018-08-15,281.17,,,,
2018-08-16,286.45,,,,
2018-08-17,317.41,,,,
2018-08-18,294.23,,,,
2018-08-19,299.36,,,,
2018-08-20,270.47,,,,
2018-08-21,280.96,,,,
2018-08-22,269.99,,,,
2018-08-23,275.67,,,,
2018-08-24,280.85,,,,
2018-08-25,277.4,,,,
2018-08-26,273.93,,,,
2018-08-27,287.98,,,,
2018-08-28,295.65,,,,
2018-08-29,288.64,,,,
2018-08-30,283.83,,,,
2018-08-31,281.18,,,,
2018-09-01,295.2,,,,
2018-09-02,294.89,,,,
2018-09-03,288.4,,,,
2018-09-04,285.22,,,,
2018-09-05,227.89,,,,
2018-09-06,228.9,,,,
2018-09-07,214.45,,,,
2018-09-08,196.68,,,,
2018-09-09,195.82,,,,
2018-09-10,196.7,,,,
2018-09-11,184.85,,,,
2018-09-12,182.78,,,,
2018-09-13,210.93,,,,
2018-09-14,208.31,,,,
2018-09-15,221.67,,,,
2018-09-16,220.08,,,,
2018-09-17,195.58,,,,
2018-09-18,208.12,,,,
2018-09-19,209.48,,,,
2018-09-20,223.94,,,,
2018-09-21,247.09,,,,
2018-09-22,239.88,,,,
2018-09-23,244.05,,,,
2018-09-24,227.61,,,,
2018-09-25,219.17,,,,
2018-09-26,213.96,,,,
2018-09-27,228.48,,,,
2018-09-28,220.55,,,,
2018-09-29,230.27,,,,
2018-09-30,232.01,,,,
2018-10-01,229.87,,,,
2018-10-02,224.59,,,,
2018-10-03,219.08,,,,
2018-10-04,220.91,,,,
2018-10-05,226.36,,,,
2018-10-06,223.16,,,,
2018-10-07,224.66,,,,
2018-10-08,227.55,,,,
2018-10-09,226.29,,,,
2018-10-10,223.14,,,,
2018-10-11,188.2,,,,
2018-10-12,193.61,,,,
2018-10-13,196.56,,,,
2018-10-14,191.85,,,,
2018-10-15,204.53,,,,
2018-10-16,205.42,,,,
2018-10-17,203.24,,,,
2018-10-18,198.97,,,,
2018-10-19,200.01,,,,
2018-10-20,202.31,,,,
2018-10-21,202.14,,,,
2018-10-22,201.02,,,,
2018-10-23,200.81,,,,
2018-10-24,200.41,,,,
2018-10-25,199.67,,,,
2018-10-26,200.69,,,,
2018-10-27,201.22,,,,
2018-10-28,202.44,,,,
2018-10-29,194.2,,,,
2018-10-30,195.3,,,,
2018-10-31,196.7,,,,
2018-11-01,196.69,200.92,195.64,197.36,
2018-11-02,199.71,204.15,197.06,199.45,
2018-11-03,198.79,202.48,197.56,198.29,
2018-11-04,199.92,218.91,197.55,198.04,
2018-11-05,207.18,213.24,204.9,211.42,
2018-11-06,218.24,221.22,206.77,214.58,
2018-11-07,216.96,225.1,214.7,217.16,
2018-11-08,211.99,220.63,209.44,213.0,
2018-11-09,211.27,215.35,205.4,211.94,
2018-11-10,210.61,215.74,207.12,210.85,
2018-11-11,209.73,213.67,205.88,207.26,
2018-11-12,210.41,214.28,206.71,209.89,
2018-11-13,203.49,213.35,202.63,206.95,
2018-11-14,175.92,211.25,164.57,180.49,
2018-11-15,177.21,189.98,165.14,174.86,
2018-11-16,174.85,185.01,169.0,180.68,
2018-11-17,171.95,177.67,169.18,174.51,
2018-11-18,177.32,182.93,170.26,172.14,
2018-11-19,147.27,178.98,141.24,153.92,
2018-11-20,130.76,154.79,118.5,136.97,
2018-11-21,130.79,141.63,121.56,125.26,
2018-11-22,134.57,140.38,121.82,134.45,
2018-11-23,120.19,130.32,107.83,121.93,
2018-11-24,123.16,130.18,106.25,120.63,
2018-11-25,100.94,121.36,98.11,110.26,
2018-11-26,106.51,121.44,102.5,112.17,
2018-11-27,103.84,111.22,99.03,109.9,
2018-11-28,122.78,125.55,107.16,114.9,
2018-11-29,119.51,122.87,112.16,118.32,
2018-11-30,115.25,121.1,109.18,116.22,
2018-12-03,108.35,119.79,104.58,117.7,50124
2018-12-04,108.71,114.71,104.36,109.79,46762
2018-12-05,101.71,111.26,100.77,108.75,40447
2018-12-06,95.05,105.39,93.75,103.9,49320
2018-12-07,92.89,107.0,81.12,95.08,67040
2018-12-08,92.89,107.0,81.12,95.08,67040
2018-12-09,92.89,107.0,81.12,95.08,67040
2018-12-10,89.06,99.37,87.35,94.91,54647
2018-12-11,87.89,94.11,84.92,89.04,43312
2018-12-12,89.99,93.95,85.85,87.89,39817
2018-12-13,84.33,92.92,83.54,89.84,37279
2018-12-14,81.77,88.44,80.73,84.3,43528
2018-12-15,81.77,88.44,80.73,84.3,43528
2018-12-16,81.77,88.44,80.73,84.3,43528
2018-12-17,93.88,100.19,83.14,85.07,53842
2018-12-18,93.82,98.92,91.2,93.89,46756
2018-12-19,98.81,110.87,93.62,93.82,58669
2018-12-20,114.08,120.45,97.88,98.81,62042
2018-12-21,107.84,122.62,104.9,114.08,69276
2018-12-22,107.84,122.62,104.9,114.08,69276
2018-12-23,107.84,122.62,104.9,114.08,69276
2018-12-24,142.14,163.29,126.55,128.29,82557
2018-12-25,135.0,148.5,121.26,142.14,70848
2018-12-26,132.7,141.33,123.19,130.52,60357
